categoria,subcategoria,super,id_catalogo,nombre_cat,nombre_super,precio,mediana_grupo,desv_sigma
Congelados,Helados y postres congelados,Mercadona,CAT-7076,Surtido De Helados Fruit Collection Hagen Dazs Sin Gluten 4 Ud,"Aceite de oliva 0,4º Hacendado",19.75,2.3,5.1
Congelados,Helados y postres congelados,Mercadona,CAT-8193,Bombones Helados De Frambuesa Banada En Chocolate Blanco Y Negro Franui Sin Gluten 150 G,"Aceite de oliva 0,4º Hacendado",19.75,2.3,5.1
Congelados,Helados y postres congelados,Mercadona,CAT-5162,Surtido De Helados Macadamia Hagen Dazs Sin Gluten 4 Ud,"Aceite de oliva 0,4º Hacendado",19.75,2.3,5.1
Congelados,Helados y postres congelados,Mercadona,CAT-5234,Surtido De Helados Vanilla Collection Hagen Dazs 4 Ud,"Aceite de oliva 0,4º Hacendado",19.75,2.3,5.1
Despensa,Azúcares y edulcorantes,Carrefour,CAT-5546,Leche Infantil De Crecimiento Desde 1 Ano Nutriben Innova Sin Azucar Anadido Lata 800 G,Leche Infantil De Crecimiento Desde 1 Ano Nutriben Innova Sin Azucar Anadido Lata 800 G,24.8,2.79,5.0
Despensa,Azúcares y edulcorantes,Carrefour,CAT-5844,Leche Infantil De Continuacion Desde 1 Ano En Polvo Evolution Blemil Optimum Sin Azucar Anadida 1 Lata 800 G,Leche Infantil De Continuacion Desde 1 Ano En Polvo Evolution Blemil Optimum Sin Azucar Anadida 1 Lata 800 G,24.3,2.79,4.9
Sin categoría,Otros,Carrefour,CAT-4677,Set 3 Sartenes De Aluminio Prensado Para Induccion Con  Mango Bakelita San Ignacio 18 22 26 Cm   Cobre,Set 3 Sartenes De Aluminio Prensado Para Induccion Con  Mango Bakelita San Ignacio 18 22 26 Cm   Cobre,39.9,4.35,4.8
Sin categoría,Otros,Carrefour,CAT-5144,Set De 2 Filtros De Agua Brita Maxtra Pro ,Set De 51 Filtros De Agua Brita Maxtra Pro ,39.9,4.35,4.8
Lácteos y Huevos,"Leche y bebidas ""lácteas""",DIA,CAT-5592,Leche Desnatada 0 Mg Puleva Sin Lactosa Botella 1 L,Leche desnatada sin lactosa Pascual pack 6 x 1 L,8.94,1.59,4.8
Hogar,Suavizantes,Carrefour,CAT-7725,Leche Limpiadora Facial Suavizante Avne 200 Ml,Leche Limpiadora Facial Suavizante Avne 200 Ml,21.6,4.99,4.8
"Azúcar, caramelos y chocolate",Golosinas,Mercadona,CAT-7718,Pastillas De Regaliz Juanola Sin Gluten Sin Lactosa 27 G,"Aceite de oliva 0,4º Hacendado",19.75,1.6,4.8
Sin categoría,Otros,Carrefour,CAT-8847,Pants Ultra Comfort Huggies T6 1525 Kg 108 Ud,Pants Ultra Comfort Huggies T6 1525 Kg 108 Ud,39.2,4.35,4.7
Carnicería y Charcutería,Pollo,Carrefour,CAT-4366,Pienso De Pollo Y Cereales Para Perros Adultos Brekkies Excel 15 Kg,Pienso De Pollo Y Cereales Para Perros Adultos Brekkies Excel 15 Kg,37.0,5.25,4.6
Sin categoría,Otros,Carrefour,CAT-5111,Serum Liposomado C Vit 5 Sesderma 30 Ml,Serum Liposomado C Vit 5 Sesderma 30 Ml,38.0,4.35,4.6
Panadería y Pastelería,Pan fresco,Carrefour,CAT-8634,Tequenos De Chocolate Pan 600 G,Tequenos De Chocolate Pan 600 G,9.89,1.99,4.6
Sin categoría,Otros,Carrefour,CAT-5949,Crema Para Las Bolsas Y Ojeras Remescar 8 Ml,Crema Para Las Bolsas Y Ojeras Remescar 8 Ml,37.5,4.35,4.5
Despensa,Harinas,Mercadona,CAT-9922,Levadura Fresca Levanova Sin Gluten Pack De 2 Sobres De 25 G ,"Aceite de oliva 0,4º Hacendado",19.75,1.75,4.5
Despensa,Harinas,Mercadona,CAT-8556,Leche Fermentada Con Levaduras Y Granulos De Kefir Nestle 375 G,"Aceite de oliva 0,4º Hacendado",19.75,1.75,4.5
Pescadería,Pescado,Carrefour,CAT-9668,Pienso Esterilizado De Salmon Para Gato Adulto 75 Kg,Pienso Esterilizado De Salmon Para Gato Adulto 75 Kg,45.5,7.05,4.5
Cuidado personal e Higiene,Higiene bucal,Carrefour,CAT-9430,Dentifrico Plus Fluor Desensin Pack De 2 Unidades De 125 G,Dentifrico Plus Fluor Desensin Pack De 2 Unidades De 125 G,22.1,5.75,4.5
Despensa,Especias e hierbas secas,Mercadona,CAT-5874,Pechugas De Pavo Marinadas Al Pimenton Carrefour 500 G Aprox,"Aceite de oliva 0,4º Hacendado",19.75,1.5,4.5
Despensa,Especias e hierbas secas,Mercadona,CAT-8715,Sandwich De Pollo Al Curry Bon Appetit Carrefour 200 G,"Aceite de oliva 0,4º Hacendado",19.75,1.5,4.5
Carnicería y Charcutería,Pollo,Carrefour,CAT-9330,Pienso De Pollo Y Verduras Para Perro Adulto Purina Friskies Vitafit Complete 15 Kg,Pienso De Pollo Y Verduras Para Perro Adulto Purina Friskies Vitafit Complete 15 Kg,36.1,5.25,4.4
Cuidado personal e Higiene,Higiene corporal,Carrefour,CAT-7714,Oleogel De Ducha Ph5 Para Piel Sensible Y Seca Eucerin 1000 Ml,Oleogel De Ducha Ph5 Para Piel Sensible Y Seca Eucerin 1000 Ml,27.3,3.35,4.4
Frutas y Verduras,Verduras,Carrefour,CAT-6579,Filetes De Lomo Bajo De Anojo Circulo De Calidad 500 G Aprox,Filetes De Lomo Bajo De Anojo Circulo De Calidad 500 G Aprox,12.65,2.49,4.4
Bebidas,Refrescos,AhorraMas,CAT-9591,Coca Cola Zero Azucar Zero Cafeina Pack 4 Botellas 2 L,Refresco cola Coca-Cola botella 2l pack 4 zero azúcar,7.52,0.99,4.4
Bebidas,Refrescos,Carrefour,CAT-8872,Coca Cola Zero Azucar Pack 24 Latas 33 Cl,Coca Cola Zero Azucar Pack 24 Latas 33 Cl,19.2,2.29,4.3
Bebidas,Refrescos,Carrefour,CAT-5977,Coca Cola Light Pack 24 Latas 33 Cl,Coca Cola Light Pack 24 Latas 33 Cl,19.2,2.29,4.3
Bebidas,Refrescos,Carrefour,CAT-6041,Coca Cola Zero Azucar Zero Cafeina Pack 24 Latas 33 Cl,Coca Cola Zero Azucar Zero Cafeina Pack 24 Latas 33 Cl,19.2,2.29,4.3
Bebidas,Refrescos,Carrefour,CAT-4322,Coca Cola Pack 24 Latas 33 Cl,Coca Cola Pack 24 Latas 33 Cl,19.2,2.29,4.3
Bebidas,Cerveza,DIA,CAT-8168,Cerveza El Aguila Sin Filtrar Pack 12 Latas 33 Cl,Cerveza sin filtrar El aguila pack 24 x 33 cl,18.0,0.99,4.3
Bebidas,Agua,Mercadona,CAT-8074,Agua Mineral Solan De Cabras Natural 50 Cl,Aceite de oliva 1º Hacendado,20.85,1.5,4.3
Frutas y Verduras,Fruta,Carrefour,CAT-9154,Leche Corporal Hidratante Con Aguacate Hydra Bebe Mustela 500 Ml,Leche Corporal Hidratante Con Aguacate Hydra Bebe Mustela 500 Ml,15.15,2.72,4.3
Bebidas,Zumos,Carrefour,CAT-4023,Concentrado De Granadina Rives 1 L,Concentrado De Granadina Rives 1 L,6.45,2.49,4.3
Mascotas,Comida para otros animales,Carrefour,CAT-9964,Vegetal Clean Papel Vitakraft  25 Litros,Vegetal Clean Papel Vitakraft  25 Litros,21.9,3.79,4.3
Cuidado personal e Higiene,Maquillaje y otros,Mercadona,CAT-7266,Bandas De Cera Depilatorias Facial Hipoalergenicas Minima Veet 20 Ud,"Aceite de oliva 0,4º Hacendado",19.75,2.5,4.3
Cuidado personal e Higiene,Maquillaje y otros,Mercadona,CAT-8917,Bandas De Cera Corporales Depilatoria Frias Carrefour Soft 20 Ud,"Aceite de oliva 0,4º Hacendado",19.75,2.5,4.3
Cuidado personal e Higiene,Maquillaje y otros,Mercadona,CAT-8924,Bandas De Cera Depilatoria Faciales Frias Carrefour Soft 20 Ud,"Aceite de oliva 0,4º Hacendado",19.75,2.5,4.3
Lácteos y Huevos,Quesos,DIA,CAT-1577,Queso tierno de cabra,Queso mini tierno de cabra Dia El Cencerro 520 g,7.28,2.49,4.2
Sin categoría,Otros,Carrefour,CAT-9331,Crema Anticelulitica Con Activos Reductores Thiomucase 1 Ud,Crema Anticelulitica Con Activos Reductores Thiomucase 1 Ud,34.7,4.35,4.1
Frutas y Verduras,Fruta,Carrefour,CAT-7644,Gel De Bano Con Espuma Con Aguacate Mustela 750 Ml,Gel De Bano Con Espuma Con Aguacate Mustela 750 Ml,14.55,2.72,4.1
Cuidado personal e Higiene,Higiene corporal,Carrefour,CAT-9530,Emulsion Sin Jabon Con Aceite De Oliva Sebamed 2 Unidades 750 Ml,Emulsion Sin Jabon Con Aceite De Oliva Sebamed 2 Unidades 750 Ml,25.6,3.35,4.1
Cuidado personal e Higiene,Cremas y protectores,Mercadona,CAT-9535,Agua De Mar En Spray Carrefour Soft 150 Ml,Aceite de oliva 1º Hacendado,20.85,5.0,4.1
Sin categoría,Otros,Carrefour,CAT-9879,Spray Elimina Piojos Y Liendres Fullmarks 150 Ml,Spray Elimina Piojos Y Liendres Fullmarks 150 Ml,34.2,4.35,4.0
Bebidas,Cerveza,Carrefour,CAT-9119,Cerveza Mahou 5 Estrellas Pack 28 Latas 33 Cl,Cerveza Mahou 5 Estrellas Pack 28 Latas 33 Cl,22.97,2.17,4.0
Bebidas,Agua,Mercadona,CAT-0641,Agua de coco 100%,"Aceite de oliva 0,4º Hacendado",19.75,1.5,4.0
Bebidas,Agua,Carrefour,CAT-8677,Agua Mineral Cabreiroa Grifo 8 L,Agua Mineral Cabreiroa Grifo 8 L,4.05,0.99,4.0
Pescadería,Pescado,Carrefour,CAT-5670,Bacalao 3 Kg Aprox,Bacalao 3 Kg Aprox,41.25,7.05,4.0
Pescadería,Marisco,Carrefour,CAT-4482,Gamba Blanca Cruda Extra 500 G Aprox,Gamba Blanca Cruda Extra 500 G Aprox,31.0,8.22,4.0
Congelados,Helados y postres congelados,Carrefour,CAT-5365,Tarta Helada Romantica Carte Dor 550 G,Tarta Helada Romantica Carte Dor 550 G,11.39,5.19,4.0
Frutas y Verduras,Verduras,Mercadona,CAT-5778,Nabo Granel 1 Kg Aprox,Pañales bebé talla 1 de 2-5 kg Dodot,20.95,1.94,4.0
Frutas y Verduras,Verduras,Mercadona,CAT-5706,Zanahoria Circulo De Calidad Carrefour 1 Kg,Aceite de oliva 1º Hacendado,20.85,1.94,4.0
Frutas y Verduras,Verduras,Mercadona,CAT-6466,Zanahoria Circulo De Calidad Carrefour 500 G,Aceite de oliva 1º Hacendado,20.85,1.94,4.0
Frutas y Verduras,Verduras,DIA,CAT-2129,Patatas,Patatas 4 Kg,5.49,1.79,4.0
Despensa,Legumbres secas,Mercadona,CAT-6609,Falafel A Base De Garbanzos Y Hortalizas Vegano Garden Gourmet 190 G,"Aceite de oliva 0,4º Hacendado",19.75,2.48,4.0
Sin categoría,Otros,Carrefour,CAT-7225,Multivitaminico Y Multimineral En Comprimidos Mujer 50 Multicentrum Sin Gluten 90 Ud,Multivitaminico Y Multimineral En Comprimidos Mujer 50 Multicentrum Sin Gluten 90 Ud,33.2,4.35,3.9
Despensa,"Arroz, pasta y quinoa",Carrefour,CAT-4793,Pienso De Pollo Y Arroz Para Perro Medium Maxi Adulto  Ultima Dog 75 Kg,Pienso De Pollo Y Arroz Para Perro Medium Maxi Adulto  Ultima Dog 75 Kg,35.7,3.89,3.9
Despensa,"Arroz, pasta y quinoa",Carrefour,CAT-5676,Pienso De Pollo Y Arroz Para Perro Medium Maxi Junior Ultima 75 Kg,Pienso De Pollo Y Arroz Para Perro Medium Maxi Junior Ultima 75 Kg,35.7,3.89,3.9
Carnicería y Charcutería,Pavo,Carrefour,CAT-6612,Pienso Esterilizado Bolas De Pelo De Pavo Para Gato Adulto Ultima 75 Kg,Pienso Esterilizado Bolas De Pelo De Pavo Para Gato Adulto Ultima 75 Kg,48.8,5.79,3.9
Panadería y Pastelería,Bollos,Mercadona,CAT-8475,Croissant Brioche 1 Ud,Pañales bebé talla 1 de 2-5 kg Dodot,20.95,2.1,3.9
Panadería y Pastelería,Bollos,Mercadona,CAT-6216,Mini Napolitana De Chocolate Carrefour 10 Ud,Aceite de oliva 1º Hacendado,20.85,2.1,3.9
Cuidado personal e Higiene,Cremas y protectores,Mercadona,CAT-4808,Aceite De Semillas Rosa Mosqueta Ecologico Arganour 50 Ml,"Aceite de oliva 0,4º Hacendado",19.75,5.0,3.9
Desayuno y Snack,Frutos secos embasados,DIA,CAT-1437,Dátiles Medjoul con hueso,Dátiles Medjoul 500 g,7.99,2.02,3.9
Bebidas,Cerveza,DIA,CAT-7568,Cerveza Heineken Pack 12 Latas 33 Cl,Cerveza Heineken pack 24 x 1 L,16.08,0.99,3.8
Desayuno y Snack,Café y cacaos,DIA,CAT-3025,Café en grano Colombia,Café en grano Colombia L'Or 500 g,15.99,4.95,3.8
Platos preparados,Platos preparados refrigerados,Mercadona,CAT-8931,Wraps Tortillas De Trigo Carrefour Sensation Sin Aceite De Palma 6 Ud,"Aceite de oliva 0,4º Hacendado",19.75,3.0,3.8
Platos preparados,Platos preparados refrigerados,Mercadona,CAT-5352,Sandwich De Vainilla Y Chocolate Classic Carrefour 6 Ud,"Aceite de oliva 0,4º Hacendado",19.75,3.0,3.8
Platos preparados,Platos preparados refrigerados,Mercadona,CAT-6243,Tortilla De Patatas Carrefour Classic Sin Gluten Sin Lactosa 600 G,"Aceite de oliva 0,4º Hacendado",19.75,3.0,3.8
Platos preparados,Platos preparados refrigerados,Mercadona,CAT-8713,Sandwich De Atun Con Huevo Y Lechuga Carrefour 200 G,"Aceite de oliva 0,4º Hacendado",19.75,3.0,3.8
Platos preparados,Platos preparados refrigerados,Mercadona,CAT-5176,Sandwich De Chocolate Vegetal Sensation Carrefour 5 Ud,"Aceite de oliva 0,4º Hacendado",19.75,3.0,3.8
Lácteos y Huevos,Quesos,Carrefour,CAT-7933,Minipizzas Con Queso Y Jamon Cocido Piccolinis Buitoni 720 G,Minipizzas Con Queso Y Jamon Cocido Piccolinis Buitoni 720 G,8.79,3.29,3.8
Cuidado personal e Higiene,Higiene corporal,Carrefour,CAT-4909,Emulsion Sin Jabon Pieles Sensibles Sebamed Pack 2 Unidades 750 Ml,Emulsion Sin Jabon Pieles Sensibles Sebamed Pack 2 Unidades 750 Ml,23.8,3.35,3.8
Hogar,Lejia y desinfectantes,Mercadona,CAT-2352,Cloro rápido granulado para piscina,Cloro rápido granulado para piscina,32.5,3.55,3.8
Frutas y Verduras,Verduras,Mercadona,CAT-9226,Hermetico Rectangular Bajo De Plastico 1L Carrefour Klipfresh,"Aceite de oliva 0,4º Hacendado",19.75,1.94,3.8
Frutas y Verduras,Verduras,Mercadona,CAT-8652,Crackers De Zanahoria Desde 12 Meses Ecologico Nestle 100 G,"Aceite de oliva 0,4º Hacendado",19.75,1.94,3.8
Frutas y Verduras,Verduras,Mercadona,CAT-7402,Snack De Zanahoria Y Maiz Desde 10 Meses Ecologico Hero Solo Sin Gluten 40 G,"Aceite de oliva 0,4º Hacendado",19.75,1.94,3.8
Frutas y Verduras,Verduras,Mercadona,CAT-6579,Filetes De Lomo Bajo De Anojo Circulo De Calidad 500 G Aprox,"Aceite de oliva 0,4º Hacendado",19.75,1.94,3.8
Frutas y Verduras,Verduras,Mercadona,CAT-5283,Tarrito De Calabaza Patata Guisante Y Brocoli Desde 6 Meses  Ecologico Hero Solo Sin Gluten 190 G,"Aceite de oliva 0,4º Hacendado",19.75,1.94,3.8
Frutas y Verduras,Verduras,Mercadona,CAT-7044,Bolsita De Manzana Zanahoria Y Mango Ecologica My Carrefour Baby Bio 100 G,"Aceite de oliva 0,4º Hacendado",19.75,1.94,3.8
Frutas y Verduras,Verduras,Mercadona,CAT-4271,Tarrito De Calabaza Y Calabacin Desde 4 Meses Ecologico Smileat Sin Gluten 230 G,"Aceite de oliva 0,4º Hacendado",19.75,1.94,3.8
Frutas y Verduras,Verduras,Mercadona,CAT-5086,Arreglo De Puchero Completo Carrefour El Mercado 900 G Aprox,"Aceite de oliva 0,4º Hacendado",19.75,1.94,3.8
Frutas y Verduras,Verduras,Mercadona,CAT-7954,Tiras De Calabacin Rebozas Y Prefritas Maheso 300 G,"Aceite de oliva 0,4º Hacendado",19.75,1.94,3.8
Frutas y Verduras,Verduras,Mercadona,CAT-9446,Brotes De Espinaca Y Rucula Carrefour El Mercado 150 G,"Aceite de oliva 0,4º Hacendado",19.75,1.94,3.8
Frutas y Verduras,Fruta,DIA,CAT-2769,Melón piel de sapo,Melón piel de sapo unidad 2.8 Kg aprox.,6.41,2.24,3.8
Carnicería y Charcutería,Pollo,Carrefour,CAT-4995,Pienso De Pollo Para Perro Mediano Grande Adulto Ultima 75 Kg,Pienso De Pollo Para Perro Mediano Grande Adulto Ultima 75 Kg,31.2,5.25,3.7
Sin categoría,Otros,Carrefour,CAT-5353,Multivitaminico Y Multimineral Hombre Multicentrum Sin Gluten 90 Ud  ,Multivitaminico Y Multimineral Hombre Multicentrum Sin Gluten 90 Ud  ,31.5,4.35,3.7
Bebidas,Licores y destilados,Carrefour,CAT-4987,Serum Hyaluron Activ B3 Avne 30 Ml,Serum Hyaluron Activ B3 Avne 30 Ml,42.1,8.99,3.7
Hogar,Suavizantes,Mercadona,CAT-6472,Suavizante Concentrado Sueno De Jazmin Mimosin 105 Lavados,"Aceite de oliva 0,4º Hacendado",19.75,2.85,3.7
Congelados,Helados y postres congelados,Mercadona,CAT-3166,Tarta selva negra congelada,Tarta selva negra Hacendado congelada,14.9,2.3,3.7
Hogar,Detergentes para ropa,Mercadona,CAT-9889,Detergente Liquido Para La Ropa De Bebe Frosch Baby 21 Lavados,"Aceite de oliva 0,4º Hacendado",19.75,2.7,3.7
Hogar,Detergentes para ropa,Mercadona,CAT-9625,Detergente Liquido Para Ropa De Bebe Sin Alergenos Norit 32 Lavados,"Aceite de oliva 0,4º Hacendado",19.75,2.7,3.7
Hogar,Detergentes para ropa,Mercadona,CAT-5014,Quitamanchas En Gel Ropa De Color Oxi Power Carrefour 2 L,"Aceite de oliva 0,4º Hacendado",19.75,2.7,3.7
Hogar,Detergentes para ropa,Mercadona,CAT-6821,Detergente En Capsulas Japon Flor De Cerezo Essential Carrefour 30 Lavados,"Aceite de oliva 0,4º Hacendado",19.75,2.7,3.7
Hogar,Detergentes para ropa,Mercadona,CAT-8066,Detergente Liquido Japon Flor De Cerezo Essential Carrefour 44 Lavados,"Aceite de oliva 0,4º Hacendado",19.75,2.7,3.7
Hogar,Detergentes para ropa,Mercadona,CAT-8067,Detergente Liquido Marsella Y Flores De Naranjo Essential Carrefour 44 Lavados,"Aceite de oliva 0,4º Hacendado",19.75,2.7,3.7
Hogar,Detergentes para ropa,Mercadona,CAT-8070,Detergente Liquido Aloe Vera Y Flores De Almendra Dulce Essential Carrefour 44 Lavados,"Aceite de oliva 0,4º Hacendado",19.75,2.7,3.7
Hogar,Detergentes para ropa,Mercadona,CAT-8068,Detergente Liquido Marsella Y Flores De Naranjo Essential Carrefour 80 Lavados,"Aceite de oliva 0,4º Hacendado",19.75,2.7,3.7
Despensa,Azúcares y edulcorantes,Carrefour,CAT-8452,Leche Infantil De Continuacion Desde 6 Meses Danone Bledina 2 Sin Azucar Anadido Lata 800 G,Leche Infantil De Continuacion Desde 6 Meses Danone Bledina 2 Sin Azucar Anadido Lata 800 G,18.85,2.79,3.7
Panadería y Pastelería,Bollos,Mercadona,CAT-6767,Bollo De Petitas Chocolate Con Leche Weikis La Bella Easo 6 Ud,"Aceite de oliva 0,4º Hacendado",19.75,2.1,3.7
Panadería y Pastelería,Bollos,Mercadona,CAT-5739,Bizcochos Rellenos De Chocolate Con Leche Cakechoc Milka 175 G,"Aceite de oliva 0,4º Hacendado",19.75,2.1,3.7
Panadería y Pastelería,Bollos,Mercadona,CAT-5740,Bizcocho De Chocolate Osito Lulu Fontaneda 150 G,"Aceite de oliva 0,4º Hacendado",19.75,2.1,3.7
Panadería y Pastelería,Bollos,Mercadona,CAT-7317,Bizcocho Recubierto De Frambuesa Y Chocolate Pims Fontaneda 150 G,"Aceite de oliva 0,4º Hacendado",19.75,2.1,3.7
Panadería y Pastelería,Bollos,Mercadona,CAT-8004,Bollo Con Pepitas De Chocolate Carrefour Classic 6 Ud,"Aceite de oliva 0,4º Hacendado",19.75,2.1,3.7
Panadería y Pastelería,Bollos,Mercadona,CAT-9245,Napolitanas Rellenas De Chocolate Classic Carrefour 320 G,"Aceite de oliva 0,4º Hacendado",19.75,2.1,3.7
Bebidas,Cerveza,Carrefour,CAT-9118,Cerveza Mahou Clasica Pack De 28 Latas De 33 Cl,Cerveza Mahou Clasica Pack De 28 Latas De 33 Cl,21.0,2.17,3.6
Bebidas,Cerveza,Carrefour,CAT-5320,Cerveza Amstel 100 Malta Pack 28 Latas 33 Cl,Cerveza Amstel 100 Malta Pack 28 Latas 33 Cl,20.72,2.17,3.6
Bebidas,Cerveza,Carrefour,CAT-5319,Cerveza Cruzcampo Pilsen Pack 28 Latas 33 Cl,Cerveza Cruzcampo Pilsen Pack 28 Latas 33 Cl,20.72,2.17,3.6
Bebidas,Agua,DIA,CAT-9285,Agua Mineral Natural Con Gas San Pellegrino 1 L,Agua mineral con gas San Pellegrino pack 6 x 1 L,8.1,1.3,3.6
Panadería y Pastelería,Pan fresco,Mercadona,CAT-5843,Baguette Carrefour 1 Ud,Pañales bebé talla 1 de 2-5 kg Dodot,20.95,1.5,3.6
Pescadería,Pescado,Carrefour,CAT-5496,Pienso Digestivo De Salmon Para Perro Medium Maxi Adulto Ultima 7 Kg,Pienso Digestivo De Salmon Para Perro Medium Maxi Adulto Ultima 7 Kg,37.5,7.05,3.6
Bebidas,Licores y destilados,Carrefour,CAT-9534,Whisky Johnnie Walker Double Black Escoces 70 Cl,Whisky Johnnie Walker Double Black Escoces 70 Cl,41.4,8.99,3.6
Cuidado personal e Higiene,Cuidado del cabello,DIA,CAT-0734,Champú anticaspa Citrus Fresh H&S cabello graso,Champú anticaspa citrus fresh cabello graso H&S 800 ml,8.99,3.99,3.6
Cuidado personal e Higiene,Perfumes,Carrefour,CAT-8829,Perfume Para La Ropa En Perlas Concentrado Frescor De Abril Lenor 735 G,Perfume Para La Ropa En Perlas Concentrado Frescor De Abril Lenor 735 G,26.2,7.92,3.6
Hogar,Lejia y desinfectantes,Mercadona,CAT-3525,Cloro disolución lenta tabletas para piscina,Cloro disolución lenta tabletas para piscina,31.0,3.55,3.6
Hogar,Lejia y desinfectantes,Mercadona,CAT-3823,Cloro 5 acciones disolución lenta tabletas para piscina,Cloro 5 acciones disolución lenta tabletas para piscina,31.0,3.55,3.6
Desayuno y Snack,Frutos secos embasados,Mercadona,CAT-9702,Pipas De Calabaza Crudas Y Peladas Carrefour Sin Sal Anadida 150 G,"Aceite de oliva 0,4º Hacendado",19.75,2.3,3.6
Desayuno y Snack,Frutos secos embasados,Mercadona,CAT-7365,Pan De Molde De Maiz Y Semillas De Girasol 400 G,"Aceite de oliva 0,4º Hacendado",19.75,2.3,3.6
Desayuno y Snack,Frutos secos embasados,Mercadona,CAT-6096,Cocktail De Frutos Secos Sin Cascara Frit Ravich Sin Gluten 160 G,"Aceite de oliva 0,4º Hacendado",19.75,2.3,3.6
Desayuno y Snack,Frutos secos embasados,Mercadona,CAT-8378,Cocktail De Frutos Secos Sin Cascara Frit Ravich Sin Gluten 300 G,"Aceite de oliva 0,4º Hacendado",19.75,2.3,3.6
Desayuno y Snack,Frutos secos embasados,Mercadona,CAT-4629,Cabeza De Cerdo Iberica Con Pistachos Al Corte Frial 250 G Aprox,"Aceite de oliva 0,4º Hacendado",19.75,2.3,3.6
Desayuno y Snack,Frutos secos embasados,Mercadona,CAT-5411,Cocktail De Frutos Secos Tostados Fuerza Original Carrefour Sin Sal Anadida 175 G,"Aceite de oliva 0,4º Hacendado",19.75,2.3,3.6
Desayuno y Snack,Frutos secos embasados,Mercadona,CAT-8402,Pipas De Girasol Gigantes Saladas Classic Carrefour Sin Gluten 200 G,"Aceite de oliva 0,4º Hacendado",19.75,2.3,3.6
Desayuno y Snack,Frutos secos embasados,Mercadona,CAT-7456,Redondo De Datil Con Nuez Carrefour El Mercado 200 G,"Aceite de oliva 0,4º Hacendado",19.75,2.3,3.6
Bebidas,Vino,AhorraMas,CAT-2557,Vino tinto crianza Abadía Mantrús DO Ribera del Duero,Vino tinto DO Ribera del Duero Arzuaga crianza,23.99,5.67,3.5
Sin categoría,Otros,Carrefour,CAT-4791,Locion Urea Repair Plus Eucerin 1L,Locion Urea Repair Plus Eucerin 1L,30.5,4.35,3.5
Sin categoría,Otros,Carrefour,CAT-8326,Set 4 Utensilios De Freidora De Aire Masterpro Foodies,Set 4 Utensilios De Freidora De Aire Masterpro Foodies,29.99,4.35,3.5
Bebidas,Cerveza,Mercadona,CAT-8037,Cerveza Alhambra Reserva 1925 Pack De 12 Botellas De 33 Cl,"Aceite de oliva 0,4º Hacendado",19.75,3.9,3.5
Bebidas,Cerveza,Mercadona,CAT-9120,Cerveza San Miguel Especial Lager Pack De 28 Latas De 33 Cl,"Aceite de oliva 0,4º Hacendado",19.75,3.9,3.5
Bebidas,Cerveza,Mercadona,CAT-5903,Cerveza Tostada Mahou 00 Alcohol Pack De 6 Botellas De 25 Cl,"Aceite de oliva 0,4º Hacendado",19.75,3.9,3.5
Bebidas,Cerveza,Mercadona,CAT-9118,Cerveza Mahou Clasica Pack De 28 Latas De 33 Cl,"Aceite de oliva 0,4º Hacendado",19.75,3.9,3.5
Bebidas,Cerveza,Mercadona,CAT-7827,Cerveza Estrella Galicia Especial Pack De 10 Latas 33 Cl,"Aceite de oliva 0,4º Hacendado",19.75,3.9,3.5
Bebidas,Cerveza,Mercadona,CAT-8310,Cerveza Tostada Estrella Galicia 00 Alcohol Pack 10 Latas De 33 Cl ,"Aceite de oliva 0,4º Hacendado",19.75,3.9,3.5
Bebidas,Cerveza,Mercadona,CAT-8612,Cerveza Saer Brau Sin Alcohol Pack De 6 Botellas De 25 Cl,"Aceite de oliva 0,4º Hacendado",19.75,3.9,3.5
Bebidas,Cerveza,Mercadona,CAT-4389,Cerveza Erdinger Weissbier Alemana De Trigo Botella 50 Cl,"Aceite de oliva 0,4º Hacendado",19.75,3.9,3.5
Bebidas,Cerveza,Mercadona,CAT-6022,Set De 10 Vasos De Cerveza De Plastico Reutilizable 315 Cl Smart,"Aceite de oliva 0,4º Hacendado",19.75,3.9,3.5
Bebidas,Cerveza,Mercadona,CAT-5587,Cerveza Mahou 5 Estrellas Radler Con Zumo Natural De Limon Lata 33 Cl,"Aceite de oliva 0,4º Hacendado",19.75,3.9,3.5
Bebidas,Cerveza,Mercadona,CAT-6663,Cerveza Mahou Clasica Pack De 12 Latas De 33 Cl,"Aceite de oliva 0,4º Hacendado",19.75,3.9,3.5
Bebidas,Cerveza,Mercadona,CAT-6773,Cerveza Mahou Clasica Pack De 12 Botellas De 25 Cl,"Aceite de oliva 0,4º Hacendado",19.75,3.9,3.5
Bebidas,Cerveza,AhorraMas,CAT-5904,Cerveza Mahou Clasica Pack 24 Botellas 25 Cl,Cerveza rubia Mahou Clásica pack 24 botellas 25cl,14.16,1.05,3.5
Bebidas,Agua,Carrefour,CAT-2846,Agua mineral grande Bezoya,Agua Mineral Bezoya Grifo 8 L,3.65,0.99,3.5
Panadería y Pastelería,Pan fresco,Mercadona,CAT-7478,Arepa De Maiz Amarillo Goya Sin Gluten 450 G,Aceite de oliva 1º Hacendado,20.85,1.5,3.5
Panadería y Pastelería,Pan fresco,Mercadona,CAT-5043,Pan De Leche Con Pepitas De Chocolate 280 G,Aceite de oliva 1º Hacendado,20.85,1.5,3.5
