categoria,subcategoria,super,id_catalogo,nombre_cat,nombre_super,precio,mediana_grupo,desv_sigma
Cuidado personal e Higiene,Cuidado del cabello,Mercadona,CAT-4935,Champu Anticaida Quinina Klorane Pack De 2 Unidades De 400 Ml,"Aceite de oliva 0,4º Hacendado",19.75,3.9,3.2
Cuidado personal e Higiene,Cuidado del cabello,Mercadona,CAT-5768,Champu De Romero Para Cabello Fino Ecologico Urtekram 500 Ml,"Aceite de oliva 0,4º Hacendado",19.75,3.9,3.2
Cuidado personal e Higiene,Cuidado del cabello,Mercadona,CAT-6140,Champu Cuidado Clasico Para Todo Tipo De Cabello Tresemme 685 Ml,"Aceite de oliva 0,4º Hacendado",19.75,3.9,3.2
Cuidado personal e Higiene,Cuidado del cabello,Mercadona,CAT-7289,Champu Reparador Con Aceite De Argan Herbal Essences 350 Ml,"Aceite de oliva 0,4º Hacendado",19.75,3.9,3.2
Cuidado personal e Higiene,Cuidado del cabello,Mercadona,CAT-6698,Acondicionador Hidratante Al Higo De Barbaria Klorane 200 Ml,"Aceite de oliva 0,4º Hacendado",19.75,3.9,3.2
Cuidado personal e Higiene,Cuidado del cabello,Mercadona,CAT-8087,Champu Para Perros De Pelo Corto Kimbo Instinct 250 Ml,"Aceite de oliva 0,4º Hacendado",19.75,3.9,3.2
Cuidado personal e Higiene,Cuidado del cabello,Mercadona,CAT-5798,Champu Anticaspa Cabello Normal Graso Tgel Neutrogena Pack De 2 Unidades De 250 Ml ,"Aceite de oliva 0,4º Hacendado",19.75,3.9,3.2
Cuidado personal e Higiene,Cuidado del cabello,Mercadona,CAT-5123,Gel De Bano Y Champu Ricitos De Oro Manzanilla Grisi 500 Ml,"Aceite de oliva 0,4º Hacendado",19.75,3.9,3.2
Cuidado personal e Higiene,Cuidado del cabello,Mercadona,CAT-5259,Mascarilla Capilar Liso  Brillo Para Cabello Liso Rebelde O Dificil De Alisar Garnier Fructis 300 Ml,"Aceite de oliva 0,4º Hacendado",19.75,3.9,3.2
Cuidado personal e Higiene,Cuidado del cabello,Mercadona,CAT-5427,Champu Alisador Liso  Brillo Para Cabello Liso Rebelde O Dificil De Alisar Garnier Fructis 380 Ml,"Aceite de oliva 0,4º Hacendado",19.75,3.9,3.2
Cuidado personal e Higiene,Cuidado del cabello,Mercadona,CAT-5433,Champu Fortificante Pure Fresh Agua De Coco Para Raices Grasas Y Puntas Secas Garnier Fructis 360 Ml,"Aceite de oliva 0,4º Hacendado",19.75,3.9,3.2
Cuidado personal e Higiene,Cuidado del cabello,Mercadona,CAT-6150,Aceite Extraordinario Tratamiento Uso Universal Loreal Elvive 100 Ml ,"Aceite de oliva 0,4º Hacendado",19.75,3.9,3.2
Cuidado personal e Higiene,Cuidado del cabello,Mercadona,CAT-4685,Champu Espuma De Lavado En Seco Para Gatos Carrefour 150 Ml,"Aceite de oliva 0,4º Hacendado",19.75,3.9,3.2
Cuidado personal e Higiene,Cuidado del cabello,Mercadona,CAT-7244,Champu 72H De Hidratacion Hidra Hialuronico Elvive Loreal Paris 690 Ml,"Aceite de oliva 0,4º Hacendado",19.75,3.9,3.2
Cuidado personal e Higiene,Cuidado del cabello,Mercadona,CAT-7556,Mochila Nenuco Pingino Jabon De Ducha 200 Ml Agua De Colonia 200 Ml Y Champu 200 Ml,"Aceite de oliva 0,4º Hacendado",19.75,3.9,3.2
Cuidado personal e Higiene,Cuidado del cabello,Mercadona,CAT-5032,Champu Fortificante Con Extracto De Cebolla Carrefour Soft 300 Ml,"Aceite de oliva 0,4º Hacendado",19.75,3.9,3.2
Cuidado personal e Higiene,Cuidado del cabello,Mercadona,CAT-6366,Champu De Almendra Y Vainilla Choice Simpl 15 L,"Aceite de oliva 0,4º Hacendado",19.75,3.9,3.2
Cuidado personal e Higiene,Cuidado del cabello,Mercadona,CAT-6833,Mascarilla Capilar Aceite De Argan Carrefour Soft 300 Ml,"Aceite de oliva 0,4º Hacendado",19.75,3.9,3.2
Cuidado personal e Higiene,Cuidado del cabello,Mercadona,CAT-8148,Champu Seco Con Extracto De Limon Purify Soft Carrefour 200 Ml ,"Aceite de oliva 0,4º Hacendado",19.75,3.9,3.2
Cuidado personal e Higiene,Cuidado del cabello,Mercadona,CAT-4683,Champu De Uso Frecuente Para Perro Carrefour 1L,"Aceite de oliva 0,4º Hacendado",19.75,3.9,3.2
Conservas y Enlatados,"Sopas, cremas y otros preparados",Mercadona,CAT-5242,Preparado De Pure De Verduras Peladas 900 G,Aceite de oliva 1º Hacendado,20.85,1.75,3.2
Conservas y Enlatados,"Sopas, cremas y otros preparados",DIA,CAT-0800,Fumet caldo de pescado,Fumet de pescado Gallina Blanca 1 L,3.49,1.45,3.2
Conservas y Enlatados,Conservas de pescado y mariscos,Mercadona,CAT-7436,Ventrescas De Merluza Carrefour Extra 400 G,Aceite de oliva 1º Hacendado,20.85,2.8,3.2
Despensa,"Salsas, caldos y condimentos preparados",Carrefour,CAT-8607,Comida Humeda Surtido De Carne En Salsa Para Gato Adulto Purina Gourmet Gold 12X85 G,Comida Humeda Surtido De Carne En Salsa Para Gato Adulto Purina Gourmet Gold 12X85 G,9.29,3.27,3.2
Bazar y Varios,Hogar y decoración,Carrefour,CAT-8667,Papel Higienico Deluxe Xxl Colhogar 36 Rollos,Papel Higienico Deluxe Xxl Colhogar 36 Rollos,20.9,4.04,3.2
Cuidado personal e Higiene,Cremas y protectores,Carrefour,CAT-7331,Crema Facial De Noche Intensiva Reestructurante Eau Thermale Avne 40 Ml,Crema Facial De Noche Intensiva Reestructurante Eau Thermale Avne 40 Ml,49.3,12.69,3.1
Cuidado personal e Higiene,Productos de afeitado,Carrefour,CAT-8297,Recambios Maquinilla Fusion5 Gillette 8 Ud,Recambios Maquinilla Fusion5 Gillette 8 Ud,25.4,5.89,3.1
Bebidas,Refrescos,Mercadona,CAT-9287,Refresco De Manzana Trina Sin Gas Lata 33 Cl,Aceite de oliva 1º Hacendado,20.85,1.85,3.1
Bebidas,Refrescos,Mercadona,CAT-7120,Pepsi Zero Azucar Pack De 12 Latas De 33 Cl,Aceite de oliva 1º Hacendado,20.85,1.85,3.1
Bebidas,Refrescos,DIA,CAT-6314,Pepsi Pack 12 Latas 33 Cl,Pepsi pack 24 x 330 ml,18.96,1.55,3.1
Bebidas,Refrescos,DIA,CAT-9617,Pepsi Zero Azucar Zero Cafeina Pack 9 Latas 33 Cl,Pepsi zero azúcar zero cafeína pack 24 x 330 ml,18.96,1.55,3.1
Bebidas,Refrescos,DIA,CAT-8858,Pepsi Zero Azucar Pack 4 Botellas 175 L,Pepsi zero azúcar pack 24 x 330 ml,18.96,1.55,3.1
Bebidas,Refrescos,DIA,CAT-5423,Pepsi Zero Azucar Lima Pack De 9 Latas De 33 Cl,Pepsi zero azúcar sabor lima pack 24 x 330 ml,18.96,1.55,3.1
Lácteos y Huevos,"Leche y bebidas ""lácteas""",Mercadona,CAT-6634,Batido De Cacao Cacaolat Sin Gluten Pack De 6 Briks De 200 Ml,"Aceite de oliva 0,4º Hacendado",19.75,1.95,3.1
Lácteos y Huevos,"Leche y bebidas ""lácteas""",Mercadona,CAT-9999,Batido De Cacao Carrefour Sin Gluten Botella 1 L,"Aceite de oliva 0,4º Hacendado",19.75,1.95,3.1
Lácteos y Huevos,"Leche y bebidas ""lácteas""",Mercadona,CAT-4168,Batido De Cacao Original Cacaolat Sin Gluten Pack De 4 Botellas De 200 Ml,"Aceite de oliva 0,4º Hacendado",19.75,1.95,3.1
Lácteos y Huevos,"Leche y bebidas ""lácteas""",Mercadona,CAT-5115,Granizado De Horchata Natural Carrefour Sensation Sin Gluten Pack De 6 Unidades De 200 Ml,"Aceite de oliva 0,4º Hacendado",19.75,1.95,3.1
Lácteos y Huevos,"Leche y bebidas ""lácteas""",Mercadona,CAT-9191,Bebida De Soja Ligera Alpro Sin Gluten Y Sin Lactosa Brik 1 L,"Aceite de oliva 0,4º Hacendado",19.75,1.95,3.1
Lácteos y Huevos,"Leche y bebidas ""lácteas""",Mercadona,CAT-9193,Bebida De Almendras Alpro Sin Gluten Y Sin Lactosa Brik 1 L,"Aceite de oliva 0,4º Hacendado",19.75,1.95,3.1
Lácteos y Huevos,"Leche y bebidas ""lácteas""",Mercadona,CAT-4450,Batido De Cacao Cacaolat Sin Gluten Botella 1 L,"Aceite de oliva 0,4º Hacendado",19.75,1.95,3.1
Lácteos y Huevos,"Leche y bebidas ""lácteas""",Mercadona,CAT-7748,Bebida De Almendra Calcio Carrefour Sin Gluten Brik 1 L,"Aceite de oliva 0,4º Hacendado",19.75,1.95,3.1
Lácteos y Huevos,"Leche y bebidas ""lácteas""",Mercadona,CAT-4165,Leche Semidesnatada Carrefour Pack De 6 Briks De 200 Ml,"Aceite de oliva 0,4º Hacendado",19.75,1.95,3.1
Lácteos y Huevos,"Leche y bebidas ""lácteas""",Mercadona,CAT-4166,Leche Entera Carrefour Pack De 6 Briks De 200 Ml,"Aceite de oliva 0,4º Hacendado",19.75,1.95,3.1
"Azúcar, caramelos y chocolate",Chocolates y bombones,Mercadona,CAT-9762,Mini Redondos De Chocolate Carrefour 155 G,Aceite de oliva 1º Hacendado,20.85,2.3,3.1
"Azúcar, caramelos y chocolate",Chocolates y bombones,Mercadona,CAT-9882,Mini Redondos De Chocolate Carrefour 160 G,Aceite de oliva 1º Hacendado,20.85,2.3,3.1
"Azúcar, caramelos y chocolate",Chocolates y bombones,Mercadona,CAT-9458,Barritas De Chocolate Fondant Bimanan 10 Ud,Aceite de oliva 1º Hacendado,20.85,2.3,3.1
"Azúcar, caramelos y chocolate",Chocolates y bombones,Mercadona,CAT-5490,Chocolate Con Leche De Los Alpes Milka 125 G,Aceite de oliva 1º Hacendado,20.85,2.3,3.1
Conservas y Enlatados,Conservas de pescado y mariscos,DIA,CAT-1739,Atún claro al natural,Atún claro al natural Calvo 6 x 56 g,6.69,2.49,3.1
Hogar,Suavizantes,Mercadona,CAT-4965,Suavizante Concentrado Original Flor 89 Lavados,Cacao soluble ColaCao original,17.0,2.85,3.1
Hogar,Suavizantes,Mercadona,CAT-4843,Suavizante Concentrado Original Flor 139 Lavados,Cacao soluble ColaCao original,17.0,2.85,3.1
Congelados,Helados y postres congelados,Mercadona,CAT-2578,Tarta San Marcos congelada,Tarta San Marcos Hacendado congelada,12.9,2.3,3.1
Hogar,Detergentes para ropa,Mercadona,CAT-7292,Detergente Lliquido Original Ariel 80 Lavados,Cacao soluble ColaCao original,17.0,2.7,3.1
Lácteos y Huevos,Postres lácteos,Carrefour,CAT-9719,Comida Humeda Mousses Para Gato Adulto Purina Gourmet Gold  24X85 G,Comida Humeda Mousses Para Gato Adulto Purina Gourmet Gold  24X85 G,17.75,3.29,3.1
Carnicería y Charcutería,Vacuno,Carrefour,CAT-9564,Filete De Vacuno 1 Kg Aprox,Filete De Vacuno 1 Kg Aprox,14.99,3.19,3.1
Desayuno y Snack,Galletas dulces,Mercadona,CAT-8885,Papilla Infantil Desde 6 Meses Galleta Maria Liquida Nestle Pack De 2 Unidades De 250 Ml,"Aceite de oliva 0,4º Hacendado",19.75,1.95,3.1
Desayuno y Snack,Galletas dulces,Mercadona,CAT-9905,Papilla Infantil Desde 6 Meses 8 Cereales Galletas Maria Nutriben Sin Aceite De Palma 600 G,"Aceite de oliva 0,4º Hacendado",19.75,1.95,3.1
Desayuno y Snack,Galletas dulces,Mercadona,CAT-6331,Galletas De Chocolate Rellenas De Crema Oreo 440 G,"Aceite de oliva 0,4º Hacendado",19.75,1.95,3.1
