id,nombre_generico,marca,imagen,orden,created_at,activo,id_categoria,tipo,formato,nombre_normalizado,ean
CAT-0079,Sal de ajo,null,null,79,null,true,133,marca_blanca,null,null,null
CAT-0080,Sal de frutas sabor limón,null,null,80,null,true,133,marca_blanca,null,null,null
CAT-0081,Salsa fresca Trufa,null,null,81,null,true,140,marca_blanca,null,null,null
CAT-0082,Pañales bebé talla 1 de 2-5 kg Dodot,null,null,82,null,true,92,marca_fabricante,null,null,null
CAT-0083,Salsa César,null,null,83,null,true,140,marca_blanca,null,null,null
CAT-0084,Pepinillos en vinagre,null,null,84,null,true,140,marca_blanca,null,null,null
CAT-0085,"Cerveza sin gluten 0,0% sin alcohol tostada Mahou",null,null,85,null,true,95,marca_fabricante,null,null,null
CAT-0086,Wok de verduras ultracongelado,null,null,86,null,true,109,marca_blanca,null,null,null
CAT-0087,Crema de lentejas,null,null,87,null,true,112,marca_blanca,null,null,null
CAT-0088,Sérum Anticaída Fortificante,null,null,88,null,true,115,marca_blanca,null,null,null
CAT-0089,Champú Anticaída Fortificante,null,null,89,null,true,115,marca_blanca,null,null,null
CAT-0090,"Leche corporal nutritiva Nivea con ácido hialurónico, aceite de almendras y sérum de nutrición profunda",null,null,90,null,true,118,marca_fabricante,null,null,null
CAT-0091,Sérum facial aceite Licopeno Anti Ox ilumina y unifica,null,null,91,null,true,114,marca_fabricante,null,null,null
CAT-0092,Preservativos natural On,null,null,92,null,true,122,marca_fabricante,null,null,null
CAT-0093,Sombra de ojos Long Lasting Multi-Stick 01 iluminador,null,null,93,null,true,120,marca_blanca,null,null,null
CAT-0094,Preparado en polvo instantáneo para crepes,null,null,94,null,true,137,marca_blanca,null,null,null
CAT-0095,Panes especiales sabor fuet,null,null,95,null,true,129,marca_blanca,null,null,null
CAT-0096,Topping de chocolate avellana,null,null,96,null,true,89,marca_blanca,null,null,null
CAT-0097,Tinto de verano Casón Histórico,null,null,97,null,true,98,marca_fabricante,null,null,null
CAT-0098,Cacao en polvo a la taza,null,null,98,null,true,125,marca_blanca,null,null,null
CAT-0099,Preservativos sensitive On,null,null,99,null,true,122,marca_fabricante,null,null,null
CAT-0100,Sal 60% menos de sodio,null,null,100,null,true,133,marca_blanca,null,null,null
