score,id_catalogo,nombre_catalogo,id_carrefour,nombre_carrefour,marca_carrefour
0.857,CAT-1229,"Gelatina 0% azúcar sabores fresa, mandarina y limón",CF-272209,Gelatina Sabor Fresa Sin Azucar Royal Sin Gluten Pack De 4 Unidades De 90 G,Royal
0.857,CAT-1262,Recipiente hermético de plástico rectangular,CF-744259,Hermetico Rectangular De Plastico 680 Ml Carrefour Klipfresh,Carrefour
0.857,CAT-1050,Salchichón extra pimienta finas lonchas,CF-248781,Salchichon Extra En Lonchas Carrefour El Mercado 2X120 G,El-Mercado
0.857,CAT-1137,Pistacho natural pelado,CF-484494,Nachos Al Natural Carrefour 200 G,Carrefour
0.857,CAT-1138,Paté de cerdo con finas hierbas,CF-002667,Pate A Las Finas Hierbas Casa Tarradellas Sin Gluten 125 G,Casa-Tarradellas
0.857,CAT-1165,Aceitunas verdes rellenas de pepinillo,CF-441995,Aceitunas Verdes Rellenas De Anchoa Nueva Receta Carrefour Pack De 6 Latas De 50 G,Carrefour
0.857,CAT-1433,Mini tortillas de trigo,CF-696610,Wraps Tortillas De Trigo Carrefour Sensation Sin Aceite De Palma 6 Ud,Carrefour
0.857,CAT-1501,Compresa sin alas normal Classic,CF-720311,Cola Carrefour Classic Botella 2 L,Carrefour
0.857,CAT-1518,"Cubo de basura mediano 30L 30,2 x 30,5 x 41,9 cm",CF-088577,Cubo De Basura Con Pedal 21L Tatay Ecohome   Beige,Marca-Nacional-Sin-Marca
0.857,CAT-1393,Friegasuelos Classic concentrado,CF-036249,Friegasuelos Concentrado Naranja Avevi 950 Ml,Asevi
0.857,CAT-1637,Boquerones aliñados,CF-150842,Boquerones 1 Kg Aprox,Marca-Nacional-Sin-Marca
0.857,CAT-1482,Compresa con alas noche Ausonia,CF-161950,Compresas Con Alas Para Noche Ultrafina Ausonia 24 Ud,Ausonia
0.857,CAT-1561,Garbanzo cocido Pedrosillano,CF-128412,Garbanzo Pedrosillano Classic Carrefour 400 G,Carrefour
0.857,CAT-1580,Queso en polvo grana padano,CF-557685,Queso Rallado Grana Padano Dop Carrefour Extra 100 G,Carrefour
0.857,CAT-1600,Queso fresco light de vaca,CF-423583,Queso Fresco Carrefour Classic 250 G,Carrefour
0.857,CAT-1756,Lomo,CF-050231,Lombarda 1 Kg,Marca-Nacional-Sin-Marca
0.857,CAT-2006,Caldo de pollo bajo en sal,CF-017555,Caldo De Pollo Reducido En Sal Classic Carrefour Sin Gluten 1 L,Carrefour
0.857,CAT-1819,Crema de verduras,CF-831744,Ravioli De Carne Con Verduras Carrefour Extra 250 G,Carrefour
0.857,CAT-1844,Mejillones en escabeche pequeños,CF-028860,Mejillones En Escabeche 1318 Isabel Sin Gluten Y Sin Lactosa 69 G,Isabel
0.857,CAT-1885,Cardo ultracongelado,CF-208320,Langostinos Pink Ultracongelado Caja De 500 G,Marca--Nacional-Sin-Marca
0.857,CAT-2127,Spray bucal refrescante,CF-521298,Spray Bucal Carrefour Soft 10 Ml,Carrefour-Soft
0.857,CAT-2144,Patatas para microondas,CF-569855,Palomitas Saladas Para Microondas Carrefour Pack De 3 Unidades De 100 G,Carrefour
0.857,CAT-1936,Palitos de surimi,CF-794390,Bimi 200 G,Marca-Nacional-Sin-Marca
0.857,CAT-1988,Pizza Americana ultracongelada,CF-665922,Pizza Salame Buitoni 195 G,Buitoni
0.857,CAT-2216,Hilo dental con cera y sabor menta,CF-257852,Hilo Dental Carrefour Soft Pack De 2 Unidades De 50 M,Carrefour-Soft
0.857,CAT-2232,Champú Natural todo tipo de cabello,CF-022036,Champu Menta Klorane 400 Ml,Klorane
0.857,CAT-2335,Comprimidos efervescentes magnesio 300 mg sabor naranja,CF-000601,Zumo De Naranja 100 Premium Granini Botella 1 L,Granini
0.857,CAT-2176,Smoothie mango y naranja,CF-912944,Zumo De Naranja Carrefour Botella 1 L,Carrefour
0.857,CAT-2413,Crackers integrales de espelta Bachman,CF-507870,Crackers Integrales Classic Carrefour 250 G,Carrefour
0.857,CAT-2514,"Cerveza Radler Falke 0,0% sin alcohol",CF-147896,Cerveza Corona Cero 00 Alcohol Botella 33 Cl,Corona
0.857,CAT-2400,Pan de molde blanco familiar,CF-418011,Pan De Molde Sin Corteza Carrefour Classic 450 G,Carrefour
0.857,CAT-2456,Barra pan de aceite de oliva,CF-167164,Anchoas En Aceite De Oliva Consorcio 50 G,Consorcio
0.857,CAT-2701,Café molido descafeinado Climent,CF-236782,Cafe Molido Mezcla Descafeinado Carrefour Classic 250 G,Carrefour
0.857,CAT-2719,Café con leche light sin lactosa,CF-231047,Cafe Latte Light Kaiku Sin Gluten Y Sin Lactosa 230 Ml,Kaiku
0.857,CAT-2522,Calabacín verde,CF-017932,Calabacin De Mercado 1 Kg Aprox,Marca-Nacional-Sin-Marca
0.857,CAT-2523,Pimiento verde freír,CF-050236,Pimiento Verde Lamuyo  Granel 1 Kg Aprox,Carrefour
0.857,CAT-2568,Barra de pan espiga,CF-677267,Barra De Pan Pistola Carrefour 250 G,Carrefour
0.857,CAT-2819,Batido sabor fresa,CF-559416,Conos Con Helado De Fresa Cornetto 4 Ud,Cornetto
0.857,CAT-2836,Salsa de tomate Boloñesa,CF-958735,Salsa De Tomate De La Abuela Original Carrefour Tarro 550 G,Carrefour
0.857,CAT-2774,Protector solar bruma facial FPS,CF-476847,Protector Solar Facial Spf50 Science Les Cosmetiques 50 Ml,Les-Cosmetiques
0.857,CAT-3009,Cacao soluble,CF-553228,Salitos Blue 33 Cl,Salitos
0.857,CAT-3076,Muslitos de surimi ultracongelados,CF-569232,Muslitos De Mar Carrefour 500 G,Carrefour
0.857,CAT-3080,Ambientador coche Marine,CF-945280,Ambientador Para Coche Olor Frutos Rojos Carrefour 1 Ud,Carrefour
0.857,CAT-3148,Helado Mochi mango,CF-696471,Helado De Limon Cornetto 4 Ud,Cornetto
0.857,CAT-3352,Eliminador de olores tejidos,CF-021283,Eliminador De Humos Wynns 325 Ml,Wynns
0.857,CAT-3389,Compresa sin alas de incontinencia Maxi,CF-405513,Compresas Incontinencia Super Absodys Carrefour 20 Ud,Carrefour
0.857,CAT-3610,Servilleta papel suave,CF-242608,Servilletas De Papel 1 Capa 29X30 Cm Simpl 200 Unid   Blancas,Simpl
0.857,CAT-3784,Maxi tortillas de trigo,CF-053017,Tortillas De Trigo Para Fajitas Mexifoods 8 Ud,Mexifoods
0.854,CAT-3881,"Comida perro adulto con salmón, atún, frutas y verduras",CF-663607,Pienso De Salmon Sin Cereales Con Frutas Y Verduras Para Perro Adulto Miguau 15 Kg,Miguau
0.853,CAT-3102,Jamón serrano reserva cortado a tapas,CF-227569,Centro Jamon Serrano Reserva Carrefour Al Corte 150 G Aprox,Carrefour
0.853,CAT-3348,Batido de chocolate 0% sin azúcares añadidos,CF-796029,Batido Sustitutivo Sabor Chocolate Sin Azucar Anadido En Sobres Bimanan Beslim 6 Ud,Bimanan
0.852,CAT-1874,Mejillones en escabeche medianos,CF-370329,Mejillones En Escabeche 1620 Classic Carrefour Sin Gluten Pack De 3 Unidades De 43 G,Carrefour
0.852,CAT-2204,Fregona Microfibra Resistente,CF-836288,Fregona Microfibra Poliester Vileda Premium 2 En 1 ,Vileda
0.852,CAT-2926,Mini taquitos de jamón Incarlopsa,CF-327612,Mini Taquitos De Jamon Curado Carrefour El Mercado Sin Gluten Y Sin Lactosa Pack De 2 Unidades De 90 G,Carrefour
0.852,CAT-3094,Pechuga de pavo Noel lonchas muy finas,CF-050759,Pechuga De Pavo En Finas Lonchas Carrefour El Mercado Sin Gluten 2X200 G,Carrefour
0.852,CAT-3252,Desodorante stick original Tulipán Negro,CF-303553,Desodorante Stick Original 0 Sales De Aluminio Tulipan Negro 100 Ml,Tulipan-Negro
0.852,CAT-3397,Bolsas de basura cubo alto 30L cubo mediano,CF-331468,Bolsas De Basura Cubo Alto 30L 20 Ud Carrefour Essential   Azul,Carrefour-Essential
0.852,CAT-3613,Papel cocina Gigante Absorbente,CF-867524,Papel De Cocina Ultra Absorbente Xxl Carrefour Essential 2 Rollos,Carrefour
0.851,CAT-0054,Café soluble classic en sobres,CF-001720,Cafe Soluble Natural Nescafe Classic 200 G,Nescafe
0.851,CAT-0387,Suavizante ropa Hipoalergénico Colonia concentrado,CF-728356,Suavizante Concentrado Hipoalergenico Essential Carrefour 60 Lavados,Carrefour-Essential
0.851,CAT-0416,Agua de colonia Citrus Classic,CF-225763,Agua De Colonia Fragancia Original Nenuco Classic 650 Ml,Nenuco
0.851,CAT-1008,Jamón cocido jugoso lonchas,CF-193022,Jamon Cocido Extra En Lonchas 1954 Premium Gourmet Elpozo Sin Gluten Y Sin Lactosa 130 G,Marca-Nacional-Sin-Marca
0.851,CAT-1227,Pan de molde sin gluten blanco,CF-178452,Pan De Molde Carrefour Classic Sin Gluten 350 G,Carrefour
0.851,CAT-1754,Salchichas cocidas estilo Frankfurt de pollo y cerdo sabor ahumado,CF-399385,Salchichas Frankfurt Carrefour Sin Gluten Pack De 4 Unidades 170 G,Carrefour
0.851,CAT-1968,Calamar patagónico pequeño ultracongelado,CF-351415,Calamar Patagonico Carrefour El Mercado 500 G,Carrefour
0.851,CAT-2017,Ajo troceado ultracongelado,CF-526231,Pulpo Cocido Troceado Congelado Carrefour 285 G,Carrefour
0.851,CAT-2945,Queso en porciones mini Babybel,CF-221478,Queso Tierno En Porciones Mini Babybel 120 G,Babybel
0.851,CAT-3317,Nata ligera para cocinar sin lactosa,CF-886257,Nata Para Cocinar Central Lechera Asturiana Sin Lactosa 200 Ml,Central-Lechera-Asturiana
0.851,CAT-3583,Recambio antihumedad con aromas cítricos,CF-718398,Antihumedad Recambio Expert Carrefour 1 Ud,Carrefour
0.85,CAT-0634,Pechugas de pollo enteras congeladas,CF-856839,Pechuga De Pollo Estilo Kentucky Maheso 250 G,Maheso
0.85,CAT-1460,Crema hidratante para pies anti-sequedad,CF-610225,Crema Hidratante Rostro Cerave 52 Ml,Cerave
0.85,CAT-1642,Pasta fresca tagliatelle al huevo,CF-840574,Tagliatelle Al Huevo Carrefour Extra 250 G,Carrefour
0.85,CAT-2866,Galletas mini de cacao Caocream rellenas de crema,CF-633153,Galletas Rellenas Para Perro Carrefour 500 G,Carrefour
0.85,CAT-2625,Burger de vaca madurada,CF-622734,Hamburguesa De Vaca Madurada El Mercado 180 G,El-Mercado
0.85,CAT-2871,Galletas cookies sin gluten y sin lactosa,CF-714085,Mayonesa Hellmanns Sin Gluten Y Sin Lactosa Envase 430 Ml,Hellmanns
0.85,CAT-3963,"Gelatina sabores mango, maracuyá y piña",CF-103327,Gelatina De Sabores Carrefour Sin Gluten Pack De 6 Unidades De 100 G,Carrefour
