id_producto;nombre;precio;categoria_actual;subcategoria_actual;categoria_nueva;subcategoria_nueva
ME-2199;Mousse de queso de vaca con ajo y finas hierbas Hacendado;1.65;Lácteos y Huevos;Quesos;;
ME-1281;Mousse de queso Hacendado congelado;8.0;Lácteos y Huevos;Quesos;;
ME-0640;Mousse facial limpiadora purificante Deliplus Oil Free;4.0;Cuidado personal e Higiene;Cremas y protectores;;
ME-2670;Mousse fijador cabello Deliplus fijación 2;2.6;Bazar y Varios;Otros bazar;;
ME-1636;Mousse sabor chocolate +Proteínas Hacendado 10 g proteínas;2.55;Desayuno y Snack;Té e infusiones;;
ME-2231;Mozzarella fresca de vaca Hacendado;0.9;Bazar y Varios;Otros bazar;;
ME-2235;Mozzarella fresca de vaca Hacendado en perlas;1.9;Bazar y Varios;Otros bazar;;
ME-2240;Mozzarella fresca di bufala campana Hacendado;1.85;Panadería y Pastelería;Pan fresco;;
ME-2246;Mozzarella fresca light de vaca Hacendado;1.0;Bazar y Varios;Otros bazar;;
ME-2468;Muesli Crunchy Hacendado 0% azúcares añadidos y 0% edulcorantes;2.0;Bazar y Varios;Otros bazar;;
ME-2464;Muesli Crunchy Hacendado con chocolate;2.35;Desayuno y Snack;Cremas;;
ME-2471;Muesli Crunchy Hacendado con fruta;2.1;Bazar y Varios;Otros bazar;;
ME-2467;Muesli Crunchy Hacendado con frutos secos;2.1;Bazar y Varios;Otros bazar;;
ME-2476;Muesli Hacendado 50% frutas y frutos secos;2.1;Bazar y Varios;Otros bazar;;
ME-2475;Muesli Hacendado con frutas;2.4;Bazar y Varios;Otros bazar;;
ME-2477;Muesli Hacendado con quinoa, chía y chocolate negro;2.5;Desayuno y Snack;Té e infusiones;;
ME-0998;Muffin chocolate 3%;1.45;Desayuno y Snack;Té e infusiones;;
ME-3032;Multi corrector Rimmel London 20 fair;6.95;Bazar y Varios;Otros bazar;;
ME-3033;Multi corrector Rimmel London 40 ivory;6.95;Bazar y Varios;Otros bazar;;
ME-3034;Multi corrector Rimmel London 50 sand;6.95;Bazar y Varios;Otros bazar;;
ME-4239;Multiusos cocina Bosque Verde;1.7;Bazar y Varios;Otros bazar;;
ME-4270;Multiusos Desinfectante antibacterias Bosque Verde;1.95;Desayuno y Snack;Té e infusiones;;
ME-4268;Multiusos Perfumado Bosque Verde;1.3;Bazar y Varios;Otros bazar;;
ME-4271;Multiusos pH Neutro Las 3 Brujas;2.55;Bazar y Varios;Otros bazar;;
ME-1350;Muslito de pollo 97% La Carloteña asado al horno lonchas;2.25;Carnicería y Charcutería;Pollo;;
ME-0217;Muslitos de surimi Hacendado ultracongelados;2.75;Congelados;Verduras congeladas;;
ME-1843;Muslo de pato confitado Hacendado;6.3;Bazar y Varios;Otros bazar;;
