supermercado,nombre_comercial,precio,marca,categoria,subcategoria,precio_por_unidad,url,imagen,referencia_externa
Alcampo,Paulaner Weissbier,,Paulaner,Bebidas,,0.5 l,https://es.openfoodfacts.org/producto/4066600601920,https://images.openfoodfacts.org/images/products/406/660/060/1920/front_en.77.400.jpg,4066600601920
Alcampo,Maíz dulce latas,,Gigante Verde,Frutas y Verduras,,"480 g (3 x 160 g) (neto),  420 g (3 x 140 g) (escurrido), 3 x 212 ml",https://es.openfoodfacts.org/producto/8410076009043,https://images.openfoodfacts.org/images/products/841/007/600/9043/front_es.25.400.jpg,8410076009043
Alcampo,Arroz salvaje con arroz basmati,,Brillante,Bebidas,,125,https://es.openfoodfacts.org/producto/8410184800143,https://images.openfoodfacts.org/images/products/841/018/480/0143/front_es.62.400.jpg,8410184800143
Alcampo,Crema de almendras,,Almendrina,Bebidas,,900 g,https://es.openfoodfacts.org/producto/8410636000336,https://images.openfoodfacts.org/images/products/841/063/600/0336/front_es.25.400.jpg,8410636000336
Alcampo,Cerveza rubia sin alcohol,,Mahou,Bebidas,,33 cl,https://es.openfoodfacts.org/producto/8411327722018,https://images.openfoodfacts.org/images/products/841/132/772/2018/front_es.36.400.jpg,8411327722018
Alcampo,Jamón cocido extra corte fresco,,ElPozo,Carne y Charcutería,,,https://es.openfoodfacts.org/producto/8410843113997,https://images.openfoodfacts.org/images/products/841/084/311/3997/front_fr.4.400.jpg,8410843113997
Alcampo,La huerta de Don Simon- Cremas Verduras,,Don Simón,Frutas y Verduras,,250 ml,https://es.openfoodfacts.org/producto/8410261780092,https://images.openfoodfacts.org/images/products/841/026/178/0092/front_es.18.400.jpg,8410261780092
Alcampo,Caldo natural de puchero,,Aneto,Otros,,1 l,https://es.openfoodfacts.org/producto/8410748402004,https://images.openfoodfacts.org/images/products/841/074/840/2004/front_en.41.400.jpg,8410748402004
Alcampo,Choco krispies,,Kellogg's,Bebidas,,600 g,https://es.openfoodfacts.org/producto/5059319007908,https://images.openfoodfacts.org/images/products/505/931/900/7908/front_es.3.400.jpg,5059319007908
Alcampo,Amendoim em pó,,Auchan,Otros,,250g,https://es.openfoodfacts.org/producto/8410191787208,https://images.openfoodfacts.org/images/products/841/019/178/7208/front_es.17.400.jpg,8410191787208
Alcampo,Cacao puro 100% desgrasado en polvo,,Pedro Mayo,Bebidas,,250 g,https://es.openfoodfacts.org/producto/8426175094156,https://images.openfoodfacts.org/images/products/842/617/509/4156/front_es.55.400.jpg,8426175094156
Alcampo,Preparado para bebida instantânea com cacau magro,,"Polegar, Pouce",Bebidas,,800 g,https://es.openfoodfacts.org/producto/5601002121158,https://images.openfoodfacts.org/images/products/560/100/212/1158/front_pt.33.400.jpg,5601002121158
Alcampo,Bebida de almendras barista,,YOSOY,Bebidas,,1 l,https://es.openfoodfacts.org/producto/8423352106404,https://images.openfoodfacts.org/images/products/842/335/210/6404/front_es.3.400.jpg,8423352106404
Alcampo,Fanta piña,,Fanta,Frutas y Verduras,,330 ml,https://es.openfoodfacts.org/producto/5449000003201,https://images.openfoodfacts.org/images/products/544/900/000/3201/front_es.70.400.jpg,5449000003201
Alcampo,Hoy legumbres los garbanzos con su sofrito,,Litoral,Bebidas,,440 g,https://es.openfoodfacts.org/producto/7613032645649,https://images.openfoodfacts.org/images/products/761/303/264/5649/front_es.59.400.jpg,7613032645649
Alcampo,Tableta de chocolate negro 70% cacao,,Valor,Dulces,,300 g,https://es.openfoodfacts.org/producto/8410109000542,https://images.openfoodfacts.org/images/products/841/010/900/0542/front_es.25.400.jpg,8410109000542
Alcampo,Chía,,SOS,Bebidas,,200 g,https://es.openfoodfacts.org/producto/8410184030663,https://images.openfoodfacts.org/images/products/841/018/403/0663/front_es.40.400.jpg,8410184030663
Alcampo,Crema casera calabaza,,Gallina Blanca,Frutas y Verduras,,500 ml,https://es.openfoodfacts.org/producto/8410300357537,https://images.openfoodfacts.org/images/products/841/030/035/7537/front_es.35.400.jpg,8410300357537
Alcampo,Noglut Jungla,,"Noglut, Santiveri",Cereales y Galletas,,100 g,https://es.openfoodfacts.org/producto/8412170029415,https://images.openfoodfacts.org/images/products/841/217/002/9415/front_es.23.400.jpg,8412170029415
Alcampo,Tofu ahumado,,Soria Natural,Bebidas,,250 g,https://es.openfoodfacts.org/producto/8422947520113,https://images.openfoodfacts.org/images/products/842/294/752/0113/front_es.34.400.jpg,8422947520113
Alcampo,Requesón Light,,Albe,Lácteos y Huevos,,2 x 150 g.,https://es.openfoodfacts.org/producto/8410864125160,https://images.openfoodfacts.org/images/products/841/086/412/5160/front_es.21.400.jpg,8410864125160
Alcampo,Vino,,Ramón Bilbao,Bebidas,,75cl,https://es.openfoodfacts.org/producto/8413423111086,https://images.openfoodfacts.org/images/products/841/342/311/1086/front_es.12.400.jpg,8413423111086
Alcampo,Naturali Aranciata,,"Nestlé,San Pellegrino",Bebidas,,330ml,https://es.openfoodfacts.org/producto/8002270646799,https://images.openfoodfacts.org/images/products/800/227/064/6799/front_fr.3.400.jpg,8002270646799
Alcampo,Grain grow  Puffs de Cereales con Plátano,,Gerber,Bebidas,,35 g,https://es.openfoodfacts.org/producto/8445290189080,https://images.openfoodfacts.org/images/products/844/529/018/9080/front_es.3.400.jpg,8445290189080
Alcampo,Sojasun vsnille,,Sojasun,Lácteos y Huevos,,400 g (4 x 100 g),https://es.openfoodfacts.org/producto/3273227485289,https://images.openfoodfacts.org/images/products/327/322/748/5289/front_en.86.400.jpg,3273227485289
Alcampo,Sardines In Tomato Sauce,,Minerva,Pescado y Marisco,,85g,https://es.openfoodfacts.org/producto/5606677101269,https://images.openfoodfacts.org/images/products/560/667/710/1269/front_en.42.400.jpg,5606677101269
