id_dia,nombre_dia,id_catalogo,nombre_catalogo,score
1596P12,Cerveza sin alcohol Dia Ramblers pack 12 x 33 cl,3337,Cerveza sin alcohol Falke,76.7
277140P24,Cerveza La sagra pack 24 x 33 cl,3312,Cerveza clásica Mahou,70.0
248453,Cerveza radler sin alcohol Amstel 33 cl,3337,Cerveza sin alcohol Falke,79.3
236249,"Cerveza 0,0% alcohol Heineken 33 cl",3332,"Cerveza 0,0% sin alcohol Falke",81.4
112888,Vino blanco Castillo de Velasco 1 L,315,Vino blanco El Coto DO Rioja,71.2
271563,Tinto de verano sin alcohol con limón Fiesta del Dia 1.5 L,3899,"Tinto de verano 0,0% sin alcohol limón Don Simón",73.8
26585,Vino blanco verdejo D.O. Rueda Vega del Báron 75 cl,324,Vino blanco verdejo Arribeño DO Rueda,78.0
127644,Vino blanco verdejo D.O. Rueda Vega del Báron 75 cl,324,Vino blanco verdejo Arribeño DO Rueda,78.0
83978,Tinto de verano con limón Fiesta del Dia 1.5 L,3345,Tinto de verano limón Casón Histórico,72.5
222265,Vino tinto Crianza D.O. La Mancha Ribera de Algodor 75 cl,224,Vino tinto crianza Fidencio DO La Mancha,74.7
12931,Vino blanco Castillo de Velasco 75 cl,315,Vino blanco El Coto DO Rioja,71.2
263403,Vino tinto crianza D.O. Rioja Castillo de Haro 75 cl,214,Vino tinto crianza El Coto DO Rioja,81.5
82850,Tinto de verano con limón La Casera 1.5 L,3345,Tinto de verano limón Casón Histórico,74.7
263597,Vino blanco D.O. Valdepeñas Viña Danza 75 cl,221,Vino tinto crianza Viña Albali DO Valdepeñas,73.2
103004,Ron añejo Barceló 70 cl,588,Ron añejo La Recompensa,70.0
263722,Vino tinto roble D.O. Toro Campo curero 75 cl,238,Vino tinto roble Fariña DO Dama de Toro,74.4
291340,Vermouth reserva Topaz 75 cl,540,Vermouth rojo Maronti reserva,70.6
79739,Vino blanco Castillo de Velasco 2 L,315,Vino blanco El Coto DO Rioja,71.2
132499,Vino tinto roble D.O. Ribera del Duero Protos 75 cl,232,Vino tinto roble Atardecer DO Ribera del Duero,76.9
46244,Vino tinto reserva D.O. Valdepeñas Viña Albalí 75 cl,221,Vino tinto crianza Viña Albali DO Valdepeñas,80.0
947,Whisky J&B 70 cl,555,Whisky escocés J&B,71.4
716,Vino blanco Cumbre de Gredos 1 L,1667,Vinagre de vino blanco Hacendado,72.0
