id_dia,nombre_dia,id_catalogo,nombre_catalogo,score
76080,Whisky 8 años Dyc 70 cl,557,Whisky DYC,74.1
38301,Agua mineral Aquarel 1.5 L,3133,Agua mineral grande Aguadoy,72.0
11416,Judía verde 500 g,132,Judía verde plana,78.6
296355,Patatas para cocer 2 Kg,155,Patatas para microondas,73.2
74,Pimiento rojo unidad 320 g aprox.,51,Pimiento rojo,78.8
188442P6,Leche semidesnatada de cabra Covap pack 6 x 1 L,1777,Leche semidesnatada de cabra Hacendado,87.5
28235,Coca-Cola zero azúcar 330 ml,3150,Refresco Coca-Cola Zero azúcar,82.4
82492,Coca-Cola zero azúcar 2 x 2 L,3150,Refresco Coca-Cola Zero azúcar,79.2
17548P6,Leche semidesnatada Central Lechera Asturiana pack 6 x 1 L,1775,Leche semidesnatada Asturiana,76.3
304739,Leche semidesnatada Dia Láctea botella 1.5 L,1772,Leche semidesnatada Hacendado,84.4
16066P6,Leche desnatada Central Lechera Asturiana pack 6 x 1 L,1790,Leche desnatada Asturiana,73.5
173903P6,Leche semidesnatada Central Lechera Asturiana pack 6 x 2.2 L,1775,Leche semidesnatada Asturiana,76.3
304738,Leche entera Dia Láctea botella 1.5 L,1795,Leche entera Hacendado,77.4
308772,Leche desnatada sin lactosa alta en proteínas Dia Láctea 1 L,1787,Leche desnatada sin lactosa Hacendado,75.0
5716P6,Leche semidesnatada Central Lechera Asturiana pack 6 x 1.5 L,1775,Leche semidesnatada Asturiana,76.3
73676,Leche entera Pascual 1 L,1795,Leche entera Hacendado,75.0
73677,Leche semidesnatada Pascual 1 L,1772,Leche semidesnatada Hacendado,82.6
73678,Leche desnatada Pascual 1 L,1786,Leche desnatada Hacendado,78.9
34578,Leche semidesnatada Lauki 1 L,1772,Leche semidesnatada Hacendado,86.4
19814,Leche entera Lauki 1 L,1795,Leche entera Hacendado,80.0
308119,Leche entera Celta 1 L,1795,Leche entera Hacendado,80.0
1917,Leche desnatada Lauki 1 L,1786,Leche desnatada Hacendado,83.3
308120,Leche semidesnatada Celta 1 L,1772,Leche semidesnatada Hacendado,86.4
74722P6,Leche desnatada Central Lechera Asturiana pack 6 x 1.5 L,1790,Leche desnatada Asturiana,73.5
73678P6,Leche desnatada Pascual pack 6 x 1 L,1786,Leche desnatada Hacendado,75.0
73677P6,Leche semidesnatada Pascual pack 6 x 1 L,1772,Leche semidesnatada Hacendado,79.2
34578P6,Leche semidesnatada Lauki pack 6 x 1 L,1774,Leche semidesnatada calcio Hacendado,83.0
308120P6,Leche semidesnatada Celta pack 6 x 1 L,1774,Leche semidesnatada calcio Hacendado,83.0
308119P6,Leche entera Celta pack 6 x 1 L,1795,Leche entera Hacendado,75.0
19814P6,Leche entera Lauki pack 6 x 1 L,1795,Leche entera Hacendado,75.0
1917P6,Leche desnatada Lauki pack 6 x 1 L,1786,Leche desnatada Hacendado,78.9
