score,nombre_dia,nombre_mercadona,id_maestro,id_dia
86.11111111111111,Vino tinto crianza D.O. Rioja Cvne 75 cl,Vino tinto crianza Cune DO Rioja,P-0216,6785
86.07594936708861,Jabón de manos neutraliza olores Dia Imaqe bote 500 ml,Jabón de manos neutraliza olores Deliplus,P-0897,8569
86.04651162790698,Yogur griego natural con azúcar de caña Dia Fidias pack 6 x 125 g,Yogur griego natural Hacendado con azúcar de caña,P-1184,4341
85.71428571428572,Leche entera Dia Láctea botella 1.5 L,Leche entera Hacendado,P-1797,3926
85.71428571428572,Leche entera Lauki 1 L,Leche entera Hacendado,P-1797,3953
85.71428571428572,Bebida de soja 0% azúcares Dia Vegedia 1 L,Bebida de soja 0% azúcar Hacendado,P-1804,4252
85.71428571428572,Yogur sabor fresa Danone pack 4 x 120 g,Yogur sabor fresa Danone,P-0708,4358
85.71428571428572,Crema de pollo con verduras Dia Al Punto 500 ml,Crema de pollo Hacendado con verduras,P-3121,4937
85.71428571428572,Berberechos al natural Sagres 58 g,Berberechos al natural S Hacendado,P-2777,5521
85.71428571428572,Harina de maíz blanco PAN 1 Kg,Harina de maíz blanco precocida Hacendado,P-1364,5873
85.71428571428572,Gaseosa La Casera 500 ml,Gaseosa La Casera grande,P-3151,6356
85.71428571428572,Garbanzos pedrosillanos Luengo 1 Kg,Garbanzo pedrosillano Hacendado,P-2557,7446
85.71428571428572,Café molido mezcla Marcilla 250 g,Café molido mezcla Marcilla gran aroma,P-2771,8045
85.71428571428572,Café molido mezcla Marcilla 500 g,Café molido mezcla Marcilla gran aroma,P-2771,8135
85.71428571428572,Café molido mezcla Bonka 250 g,Café molido mezcla Hacendado,P-2766,8247
85.71428571428572,Café soluble descafeinado Nescafé 75 g,Café soluble descafeinado Nescafé classic,P-2818,8316
85.5072463768116,Bebida de zumo de naranja y zanahoria sin azúcares añadidos Granini 1 L,"Bebida de zumo de naranja, mango y zanahoria La Verja sin azúcares añadidos",P-0401,4801
85.39325842696628,Barritas de cereales plátano y chocolate con leche Gran Dia caja 150 g,Barritas de cereales Hacendado chocolate con leche,P-2275,4110
85.39325842696628,Limpiador vitrocerámica crema Vitroclen   botella 200 ml,Crema limpiadora Vitrocerámicas Vitroclen 5 en 1,P-3624,8651
85.36585365853658,Papilla de cereales con miel Nestlé caja 725 g,Papilla 8 cereales con miel Nestlé +6 meses,P-3466,8449
85.33333333333333,Tomate frito con aceite de oliva Helios 560 g,Tomate frito Hacendado con aceite de oliva,P-2117,7097
85.29411764705883,Leche semidesnatada sin lactosa Pascual pack 6 x 1 L,Leche semidesnatada sin lactosa Hacendado,P-1775,4027
85.29411764705883,Cerveza reserva 1925 Alhambra pack 4 x 33 cl,Cerveza reserva 1925 Alhambra,P-3326,6710
85.29411764705883,"Cerveza sin filtrar 0,0 El águila 33 cl",Cerveza El Águila sin filtrar,P-3327,6712
85.24590163934427,Bebida de almendras 0% azúcares Dia Vegedia pack 6 x 1 L,Bebida de almendras 0% azúcar Hacendado,P-1805,4248
85.24590163934427,Queso de oveja tierno ahumado 175 g,Queso viejo ahumado de oveja Hacendado,P-2159,4588
