supermercado,nombre_comercial,precio,marca,categoria,subcategoria,precio_por_unidad,url,imagen,referencia_externa
DIA,Cocido madrileño Litoral 425 g,3.35,Litoral,Platos preparados y pizzas,Platos precocinados,7.88,https://www.dia.es/platos-preparados-y-pizzas/platos-precocinados/p/35226,https://www.dia.es/product_images/35226/35226_ISO_0_ES.jpg,35226
DIA,Sándwich mixto Casa Tarradellas 240 g,1.99,Casa Tarradellas,Platos preparados y pizzas,"Sándwiches, hamburguesas y horno",8.29,https://www.dia.es/platos-preparados-y-pizzas/sandwiches-hamburguesas-y-horno/p/74730,https://www.dia.es/product_images/74730/74730_ISO_0_ES.jpg,74730
DIA,Patatas alioli Ensalandia 250 g,1.55,Ensalandia,Platos preparados y pizzas,Platos precocinados,6.2,https://www.dia.es/platos-preparados-y-pizzas/platos-precocinados/p/189917,https://www.dia.es/product_images/189917/189917_ISO_0_ES.jpg,189917
DIA,Gyozas de langostino al teppanyaki Dia Al Punto 140 g,2.99,Dia Al Punto,Platos preparados y pizzas,Platos precocinados,21.36,https://www.dia.es/platos-preparados-y-pizzas/platos-precocinados/p/274616,https://www.dia.es/product_images/274616/274616_ISO_0_ES.jpg,274616
DIA,Callos a la madrileña Gancedo 500 g,3.95,Gancedo,Platos preparados y pizzas,Platos precocinados,7.9,https://www.dia.es/platos-preparados-y-pizzas/platos-precocinados/p/285228,https://www.dia.es/product_images/285228/285228_ISO_0_ES.jpg,285228
DIA,Mini redondo de pollo asado con bacon La Carloteña 250 g,3.09,La Carloteña,Platos preparados y pizzas,Platos precocinados,12.36,https://www.dia.es/platos-preparados-y-pizzas/platos-precocinados/p/209533,https://www.dia.es/product_images/209533/209533_ISO_0_ES.jpg,209533
DIA,Hamburguesa cheese burger Palacios 2 x 125 g,3.15,Palacios,Platos preparados y pizzas,"Sándwiches, hamburguesas y horno",12.6,https://www.dia.es/platos-preparados-y-pizzas/sandwiches-hamburguesas-y-horno/p/190038,https://www.dia.es/product_images/190038/190038_ISO_0_ES.jpg,190038
DIA,Lentejas a la riojana Litoral 430 g,2.35,Litoral,Platos preparados y pizzas,Platos precocinados,5.47,https://www.dia.es/platos-preparados-y-pizzas/platos-precocinados/p/44471,https://www.dia.es/product_images/44471/44471_ISO_0_ES.jpg,44471
DIA,Sándwich con pollo César Ñaming 200 g,2.59,Ñaming,Platos preparados y pizzas,"Sándwiches, hamburguesas y horno",12.95,https://www.dia.es/platos-preparados-y-pizzas/sandwiches-hamburguesas-y-horno/p/164095,https://www.dia.es/product_images/164095/164095_ISO_0_ES.jpg,164095
DIA,Garbanzos con espinacas Litoral 425 g,2.25,Litoral,Platos preparados y pizzas,Platos precocinados,5.29,https://www.dia.es/platos-preparados-y-pizzas/platos-precocinados/p/189861,https://www.dia.es/product_images/189861/189861_ISO_0_ES.jpg,189861
DIA,Tabulé oriental Pierre Martinet 200 g,1.79,Pierre Martinet,Platos preparados y pizzas,Comida internacional,8.95,https://www.dia.es/platos-preparados-y-pizzas/comida-internacional/p/147445,https://www.dia.es/product_images/147445/147445_ISO_0_ES.jpg,147445
