score,nombre_dia,nombre_mercadona,id_maestro,id_dia
73.17073170731707,Garbanzos cocidos Luengo 400 g,Garbanzo cocido Hacendado,P-2554,7381
73.11827956989248,Barrita de chocolate con 30% de proteínas Corny bolsa 50 g,Barritas de chocolate con leche Hacendado rellenas de leche,P-3185,7969
73.01587301587303,Refresco de cola zero Dia Hola Cola 4 x 2 L,Refresco Coca-Cola Zero azúcar,P-3152,6569
72.72727272727273,Refresco de cola Dia Hola Cola 2 L,Refresco Coca-Cola,P-3141,6376
72.72727272727273,Fanta de naranja 2 x 2 L,Naranja de mesa,P-0061,6471
72.72727272727273,Pepsi 1 L,Pepino,P-0035,6487
72.72727272727273,Gatorade sabor frambuesa 500 ml,Gelatina sabor fresa Hacendado,P-1536,6534
72.72727272727273,Hojas de laurel Dani 10 g,Hoja de laurel Hacendado,P-1943,7134
72.72727272727273,Bechamel Knorr 500 ml,Bechamel Hacendado,P-2044,7257
72.72727272727273,Colorante Carmencita 65 g,Colorante alimentario Hacendado,P-1965,7286
72.72727272727273,Garbanzos Luengo 1 Kg,Garbanzo Hacendado,P-2556,7415
72.5,Almendras tostadas con piel sin sal Dia Naturmundo 200 g,Almendra tostada y salada Hacendado con piel,P-1309,6057
72.41379310344827,Refresco de fresa sin gas Enjoy 1.5 L,Refresco de naranja sin gas,P-3284,6368
72.41379310344827,Colorantes alimentarios Dr. Oetker caja 40 g,Colorante alimentario Hacendado,P-1965,8206
72.28915662650603,Panecillos tostados integral El molino de Dia 225 g,Panecillo tostado 100% integral de trigo Hacendado,P-0742,5803
72.0,Berenjena unidad,Berenjena,P-0131,4890
72.0,Alcachofa 250 g aprox.,Alcachofa,P-0135,4911
71.875,Coquina del Mediterráneo Aligator 250 g,Agua de colonia S3 Mediterránea,P-1865,5674
71.69811320754718,Yogur natural azucarado Dia Láctea pack 8 x 125 g,Yogur natural de cabra Hacendado,P-0702,4375
71.60493827160495,Barrita de chocolate con pistacho Nestlé 30 g,Pistachos bañados de chocolate con leche Hacendado,P-3196,7966
71.42857142857143,Bebida de avena Yosoy 1 L,Bebida de soja 0% azúcar Hacendado,P-1804,4202
71.42857142857143,Nata montada Dia Láctea 250 g,Nata para montar Hacendado,P-2043,4278
71.42857142857143,Chipirón enharinado Dia Mari Marinera 250 g,Chipirones enharinados Hacendado ultracongelado,P-0280,5670
71.42857142857143,Fanta de limón 2 L,Granizado de limón Hacendado,P-3050,6419
71.42857142857143,Lentejas pardinas Dia Vegecampo 1 Kg,Lenteja pardina Hacendado,P-2568,7378
71.42857142857143,Tallarines Gallo 400 g,Tallarines Hacendado,P-2513,7461
71.15384615384616,Galleta con chips de chocolate con leche El molino de Dia 76 g,Galletas Biscuit con relleno de crema de chocolate Hacendado,P-2485,4191
71.11111111111111,Calamares en su tinta Albo 72 g,Calamar en tinta Hacendado,P-2761,5526
71.11111111111111,Alubias blancas Dia Vegecampo 1 Kg,Alubia cocida blanca Hacendado,P-2559,7386
71.11111111111111,Alubias blancas Dia Vegecampo 500 g,Alubia cocida blanca Hacendado,P-2559,7427
70.96774193548387,Batido al cacao Dia Láctea botella 1 L,Berlina al cacao,P-0933,4289
70.96774193548387,Limpiador de vitrocerámica en crema Super Paco de Dia botella 500 ml,Limpiador Vitrocerámicas Bosque Verde 3 en 1,P-3622,8655
70.83333333333333,Churros lazo sin gluten Maheso 200 g,Cerveza sin gluten Mahou,P-3328,6155
70.83333333333333,Cornetto de chocolate 4 x 60 g,Coulant de chocolate Hacendado,P-1551,6185
70.76923076923076,"Zumo de melocotón, uva y manzana Don Simón 1 L",Zumo de melocotón y uva Hacendado,P-0467,4799
70.76923076923076,Refresco de cola zero Dia Hola Cola 330 ml,Refresco Coca-Cola Zero azúcar,P-3152,6379
70.76923076923076,Refresco de cola zero Dia Hola Cola 6 x 500 ml,Refresco Coca-Cola Zero azúcar,P-3152,6564
70.58823529411764,Magdalenas con mantequilla La abuela bolsa 450 g,Galletas de mantequilla Hacendado Belgas,P-2420,4617
