id_producto;nombre;precio;categoria_actual;subcategoria_actual;categoria_nueva;subcategoria_nueva
ME-1265;Compresa con alas super Evax cotton like fresh;435;Bazar y Varios;Otros bazar;;
ME-1323;Compresa de incontinencia Tena masculina;50;Bazar y Varios;Otros bazar;;
ME-1259;Compresa sin alas de incontinencia Deliplus Extra;335;Bazar y Varios;Otros bazar;;
ME-1256;Compresa sin alas de incontinencia Deliplus Maxi;315;Bazar y Varios;Otros bazar;;
ME-1275;Compresa sin alas de incontinencia Deliplus Maxi Night;315;Bazar y Varios;Otros bazar;;
ME-1271;Compresa sin alas de incontinencia Deliplus Mini;335;Bazar y Varios;Otros bazar;;
ME-1264;Compresa sin alas de incontinencia Deliplus Normal;335;Bazar y Varios;Otros bazar;;
ME-1267;Compresa sin alas normal Deliplus;215;Bazar y Varios;Otros bazar;;
ME-1254;Compresa sin alas normal Deliplus Classic;11;Bazar y Varios;Otros bazar;;
ME-1276;Compresa sin alas normal Evax cotton like;285;Bazar y Varios;Otros bazar;;
ME-1260;Compresa sin alas normal plegada Deliplus Classic;12;Bazar y Varios;Otros bazar;;
ME-1270;Compresa sin alas super Deliplus;215;Bazar y Varios;Otros bazar;;
ME-1262;Compresa sin alas super plegada Deliplus Classic;14;Bazar y Varios;Otros bazar;;
ME-3968;Comprimidos cabello y uñas Deliplus;395;Bazar y Varios;Otros bazar;;
ME-3951;Comprimidos Dormir Deliplus;395;Bazar y Varios;Otros bazar;;
ME-3952;Comprimidos efervescentes vitamina C y zinc Deliplus sabor limón;195;Bazar y Varios;Otros bazar;;
ME-3950;Comprimidos Vitaminas y Minerales Deliplus;30;Bazar y Varios;Otros bazar;;
ME-3100;Concha fina al natural Hacendado;19;Bazar y Varios;Otros bazar;;
ME-0540;Conejo entero;1032;Bazar y Varios;Otros bazar;;
ME-3489;Confitura de melocotón Hacendado 0% azúcares añadidos;16;Bazar y Varios;Otros bazar;;
ME-0677;Contorno de ojos Antiarrugas e Iluminador con silicio Sisbela Reafirm Deliplus;45;Bazar y Varios;Otros bazar;;
