id_producto;nombre;precio;categoria_actual;subcategoria_actual;categoria_nueva;subcategoria_nueva
ME-3605;99% cacao negro Hacendado;260;Desayuno y Snack;Cremas;Desayuno y Snack;Café y cacaos
ME-3165;Cacao puro en polvo La Chocolatera;495;Desayuno y Snack;Cremas;Desayuno y Snack;Café y cacaos
ME-2486;Barritas con proteínas Enervit Sport sabor coco y chocolate;295;Desayuno y Snack;Cremas;Desayuno y Snack;DULCES
ME-2491;Barritas de avena Crunchy Nature Valley con chocolate negro;260;Desayuno y Snack;Té e infusiones;Desayuno y Snack;DULCES
ME-2485;Barritas de cereales con frutos secos Hacendado;165;Desayuno y Snack;Cereales para desayuno;Desayuno y Snack;DULCES
ME-2490;Barritas de cereales con galleta animada Hacendado;155;Desayuno y Snack;Galletas dulces;Desayuno y Snack;DULCES
ME-2483;Barritas de cereales Hacendado con chocolate blanco;155;Desayuno y Snack;Cremas;Desayuno y Snack;DULCES
ME-2489;Barritas de cereales Hacendado sabor mango;165;Desayuno y Snack;Cereales para desayuno;Desayuno y Snack;DULCES
ME-2484;Barritas de cereales muesli Hacendado con chocolate;155;Desayuno y Snack;Cereales para desayuno;Desayuno y Snack;DULCES
ME-2488;Barritas de galleta rellenas de arándanos Hacendado;155;Desayuno y Snack;Galletas dulces;Desayuno y Snack;DULCES
ME-1521;Altramuces Hacendado;175;Bazar y Varios;Otros bazar;DESAYUNO Y SNACK;FRUTOS SECOS EMBASADOS
ME-1951;Bebida de almendras 0% azúcar Hacendado;690;Desayuno y Snack;Frutos secos embasados;Desayuno y Snack;OTROS
ME-1955;Bebida de almendras con calcio Hacendado;690;Desayuno y Snack;Frutos secos embasados;Desayuno y Snack;OTROS
ME-0749;Bífidus probióticos con cereales y fibras Hacendado;130;Desayuno y Snack;Cereales para desayuno;Desayuno y Snack;OTROS
ME-0790;Galletas saladas con semillas y orégano Hacendado;145;Despensa;Sales;DESAYUNO Y SNACK;SNACK
ME-0785;Galletas saladas salpicks Galbusera;190;Despensa;Sales;DESAYUNO Y SNACK;SNACK
ME-1094;Galletitas saladas Hacendado;120;Despensa;Sales;DESAYUNO Y SNACK;SNACK
ME-3462;Caldo de carne con sofrito Hacendado;180;Bazar y Varios;Otros bazar;DESPENSA;CALDOS
ME-3463;Caldo de carne Hacendado en pastillas;90;Bazar y Varios;Otros bazar;DESPENSA;CALDOS
ME-3461;Caldo de cocido Hacendado;90;Bazar y Varios;Otros bazar;DESPENSA;CALDOS
ME-3458;Caldo de marisco o fideuá para paella Hacendado con sofrito;200;Bazar y Varios;Otros bazar;DESPENSA;CALDOS
ME-3457;Caldo de verduras Hacendado;100;Bazar y Varios;Otros bazar;DESPENSA;CALDOS
ME-3468;Caldo de verduras Hacendado en pastillas;90;Bazar y Varios;Otros bazar;DESPENSA;CALDOS
ME-2170;Canela en rama Hacendado;150;Bazar y Varios;Otros bazar;DESPENSA;ESPECIAS
ME-2169;Canela molida Hacendado;100;Bazar y Varios;Otros bazar;DESPENSA;ESPECIAS
ME-1441;Harina de arroz Hacendado;131;Despensa;Arroz, pasta y quinoa;Despensa;Harinas
ME-1784;Bicarbonato de sódio Hacendado;145;Bazar y Varios;Otros bazar;DESPENSA;OTROS
ME-1953;Bebida de arroz sin azúcares añadidos Hacendado;660;Despensa;Arroz, pasta y quinoa;Despensa;OTROS
ME-1962;Bebida de avellana y arroz sin azúcares añadidos Hacendado;840;Despensa;Arroz, pasta y quinoa;Despensa;OTROS
ME-1958;Bebida de coco y arroz sin azúcares añadidos Hacendado;960;Despensa;Arroz, pasta y quinoa;Despensa;OTROS
ME-2223;Bechamel Hacendado;235;Bazar y Varios;Otros bazar;DESPENSA;SALSAS
ME-0139;Brócoli;114;Bazar y Varios;Otros bazar;FRUTAS Y VERDURAS;VERDURAS
ME-0056;Calabacín verde;78;Bazar y Varios;Otros bazar;FRUTAS Y VERDURAS;VERDURAS
ME-0083;Canónigos lavados;120;Bazar y Varios;Otros bazar;FRUTAS Y VERDURAS;VERDURAS
ME-4190;Detergente Lavado a Mano Bosque Verde en polvo;190;Desayuno y Snack;Té e infusiones;HOGAR;DETERGENTE
ME-4178;Detergente ropa Ariel líquido;795;Desayuno y Snack;Té e infusiones;HOGAR;DETERGENTE
ME-4189;Detergente ropa blanca y color Bosque Verde en cápsulas;440;Desayuno y Snack;Té e infusiones;HOGAR;DETERGENTE
ME-4174;Detergente ropa Blanca y de Color Bosque Verde en gel concentrado;335;Desayuno y Snack;Té e infusiones;HOGAR;DETERGENTE
ME-4185;Detergente ropa blanca y de color Bosque Verde en polvo;665;Desayuno y Snack;Té e infusiones;HOGAR;DETERGENTE
ME-4176;Detergente ropa Blanca y de Color Bosque Verde líquido;565;Desayuno y Snack;Té e infusiones;HOGAR;DETERGENTE
ME-4180;Detergente ropa colada mixta Micolor en gel;595;Desayuno y Snack;Té e infusiones;HOGAR;DETERGENTE
ME-4183;Detergente ropa Colonia Hipoalergénico Bosque Verde líquido;340;Desayuno y Snack;Té e infusiones;HOGAR;DETERGENTE
ME-4175;Detergente ropa de Color Bosque Verde líquido;440;Desayuno y Snack;Té e infusiones;HOGAR;DETERGENTE
ME-4184;Detergente ropa Frescura Bosque Verde líquido;340;Desayuno y Snack;Té e infusiones;HOGAR;DETERGENTE
ME-4188;Detergente ropa jabón de Marsella Bosque Verde en polvo;565;Desayuno y Snack;Té e infusiones;HOGAR;DETERGENTE
ME-4181;Detergente ropa oscura Bosque Verde líquido;400;Desayuno y Snack;Té e infusiones;HOGAR;DETERGENTE
ME-4179;Detergente ropa Pieles Sensibles Bosque Verde líquido;480;Desayuno y Snack;Té e infusiones;HOGAR;DETERGENTE
ME-4177;Detergente ropa Prendas Delicadas Bosque Verde líquido;250;Desayuno y Snack;Té e infusiones;HOGAR;DETERGENTE
ME-4186;Detergente ropa todo en 1 Ariel Pods en cápsulas;690;Desayuno y Snack;Té e infusiones;HOGAR;DETERGENTE
ME-4187;Detergente ropa todo en 1 frescor floral Ariel Pods en cápsulas;690;Desayuno y Snack;Té e infusiones;HOGAR;DETERGENTE
ME-4173;Detergente ropa jabón natural de Marsella Bosque Verde líquido;340;Mascotas;Juguetes y accesorios;HOGAR;DETERGENTE
ME-4237;Crema limpiadora Vitrocerámicas Vitroclen 5 en 1;490;Bazar y Varios;Otros bazar;HOGAR;LIMPIEZA
ME-4276;Limpiador abrillantador Bosque Verde;290;Bazar y Varios;Otros bazar;HOGAR;LIMPIEZA
ME-4248;Limpiador Antical Bosque Verde;160;Bazar y Varios;Otros bazar;HOGAR;LIMPIEZA
ME-4245;Limpiador Baños Bosque Verde en gel;145;Bazar y Varios;Otros bazar;HOGAR;LIMPIEZA
ME-4288;Limpiador concentrado Las 3 Brujas;285;Bazar y Varios;Otros bazar;HOGAR;LIMPIEZA
ME-4234;Limpiador de Hornos Bosque Verde;135;Bazar y Varios;Otros bazar;HOGAR;LIMPIEZA
ME-4262;Limpiador de Muebles con ceras Bosque Verde;165;Bazar y Varios;Otros bazar;HOGAR;LIMPIEZA
ME-4265;Limpiador de Muebles y Parquet Bosque Verde;200;Bazar y Varios;Otros bazar;HOGAR;LIMPIEZA
