id,id_producto,nombre,precio,categoria_id,categoria,subcategoria,imagen,url,actualizado
7213,ME-0061,Naranja de mesa,0.51€,null,Frutas y Verduras,Fruta,https://prod-mercadona.imgix.net/images/e9ff28c3b115649df7138f0f51dd1f9f.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3235/naranja-mesa-pieza,2026-03-09 20:22:03.238437
7214,ME-0062,Naranjas,4.35€,null,Frutas y Verduras,Fruta,https://prod-mercadona.imgix.net/images/45e9468a6928470c2fef4b286fab0ccd.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3277/naranjas-malla,2026-03-09 20:22:03.238437
7267,ME-0063,Pomelo,0.82€,null,Frutas y Verduras,Fruta,https://prod-mercadona.imgix.net/images/33aa4801e7e15cc82d0caa406b3fb363.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3202/pomelo-pieza,2026-03-09 20:22:03.238437
7181,ME-0064,Lima,0.36€,null,Frutas y Verduras,Fruta,https://prod-mercadona.imgix.net/images/89f9d5452102413e378048f258bc0d9c.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/3897/lima-pieza,2026-03-09 20:22:03.238437
7113,ME-0065,Coliflor,2.50€,null,Frutas y Verduras,Verduras,https://prod-mercadona.imgix.net/images/6d23e41208a9f845dbde60697cb4d5d2.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/69220/coliflor-pieza,2026-03-09 20:22:03.238437
7274,ME-0066,Repollo liso,2.18€,null,Frutas y Verduras,Verduras,https://prod-mercadona.imgix.net/images/e8d49b238aa9719d457753bd31390f74.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/69236/repollo-liso-pieza,2026-03-09 20:22:03.238437
7275,ME-0067,Repollo liso partido,1.94€,null,Frutas y Verduras,Verduras,https://prod-mercadona.imgix.net/images/3f9de2a797f15ec969b407d8ad2e65df.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/68462/medio-repollo-liso-12-pieza,2026-03-09 20:22:03.238437
7276,ME-0068,Repollo rizado,1.65€,null,Frutas y Verduras,Verduras,https://prod-mercadona.imgix.net/images/3e6a378138cf685c88973899bb0841a4.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/69238/repollo-rizado-pieza,2026-03-09 20:22:03.238437
7202,ME-0069,Medio repollo rizado,1.91€,null,Frutas y Verduras,Verduras,https://prod-mercadona.imgix.net/images/c63ea2034ed897845fd3ae75c5007ee1.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/68463/medio-repollo-rizado-12-pieza,2026-03-09 20:22:03.238437
7111,ME-0070,Coles de bruselas,2.40€,null,Frutas y Verduras,Verduras,https://prod-mercadona.imgix.net/images/a5f1e8a052d117199299685c86765e15.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/69379/coles-bruselas-paquete,2026-03-09 20:22:03.238437
7110,ME-0071,Col lombarda,2.68€,null,Frutas y Verduras,Verduras,https://prod-mercadona.imgix.net/images/7798d5fc27ec9df3b3336c68302e5972.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/69251/col-lombarda-pieza,2026-03-09 20:22:03.238437
7199,ME-0072,Media col lombarda,1.51€,null,Frutas y Verduras,Verduras,https://prod-mercadona.imgix.net/images/d3e88a38f23ebbd24626ea172ded9b52.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/69258/media-col-lombarda-12-pieza,2026-03-09 20:22:03.238437
7176,ME-0073,Lechuga Iceberg,1.05€,null,Frutas y Verduras,Verduras,https://prod-mercadona.imgix.net/images/320cf3cbed15d3543322144333ce1a98.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/68130/lechuga-iceberg-pieza,2026-03-09 20:22:03.238437
7131,ME-0074,Ensalada mezcla 4 estaciones lavada,0.85€,null,Frutas y Verduras,Verduras,https://prod-mercadona.imgix.net/images/521b7ea477692d5b5ae5835f2aea842c.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/69706/ensalada-mezcla-4-estaciones-compuesta-lechuga-iceberg-zanahoria-col-lombarda-paquete,2026-03-09 20:22:03.238437
7179,ME-0075,Lechugas corazón romana,1.75€,null,Frutas y Verduras,Verduras,https://prod-mercadona.imgix.net/images/f073d57203d1d5b93f0aa0b07f5b1f3a.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/69121/lechugas-corazon-romana-paquete,2026-03-09 20:22:03.238437
7132,ME-0076,Ensalada mezcla brotes tiernos lavada,1.20€,null,Frutas y Verduras,Verduras,https://prod-mercadona.imgix.net/images/77a9cc89e7a3c57a49e23a71517e4796.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/69757/ensalada-mezcla-brotes-tiernos-compuesta-brotes-batavia-roja-verde-lollo-rojo-rucula-espinaca-baby-paquete,2026-03-09 20:22:03.238437
7087,ME-0077,Canónigos lavados,1.20€,null,Frutas y Verduras,Verduras,https://prod-mercadona.imgix.net/images/f0e683ae77cdd6372eaafd6420cc0171.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/69719/canonigos-paquete,2026-03-09 20:22:03.238437
7177,ME-0078,Lechuga iceberg cortada y lavada,0.95€,null,Frutas y Verduras,Verduras,https://prod-mercadona.imgix.net/images/580c669243865a140be58304751de37b.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/69670/lechuga-iceberg-paquete,2026-03-09 20:22:03.238437
7135,ME-0079,Ensalada mezcla gourmet lavada,1.10€,null,Frutas y Verduras,Verduras,https://prod-mercadona.imgix.net/images/ce7ab9785a4b5272bbe8893fb9a2ae3a.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/69744/ensalada-mezcla-gourmet-compuesta-escarola-rizada-radicchio-canonigos-paquete,2026-03-09 20:22:03.238437
7109,ME-0080,Cogollos de lechuga,1.05€,null,Frutas y Verduras,Verduras,https://prod-mercadona.imgix.net/images/ed00cb0a9feaf3a20d726b38ad22f70c.jpg?fit=crop&h=300&w=300,https://tienda.mercadona.es/product/69581/cogollos-lechuga-paquete,2026-03-09 20:22:03.238437
