id,id_api,nombre_comercial,precio,precio_unidad,marca,url,imagen,disponible
DI-4403,53195,Queso gouda Dia Selección Mundial 400 g,3.15,7.88€/kg,Dia Selección Mundial,https://www.dia.es/charcuteria-y-quesos/quesos-internacionales/p/53195,https://www.dia.es/product_images/53195/53195_ISO_0_ES.jpg,True
DI-4279,46047,Queso de untar light Philadelphia 250 g,2.78,11.12€/kg,Philadelphia,https://www.dia.es/charcuteria-y-quesos/quesos-untables-y-fundidos/p/46047,https://www.dia.es/product_images/46047/46047_ISO_0_ES.jpg,True
DI-1845,263575,Queso parmesano D.O.P. Dia Selección Mundial 150 g,4.69,31.27€/kg,Dia Selección Mundial,https://www.dia.es/charcuteria-y-quesos/quesos-internacionales/p/263575,https://www.dia.es/product_images/263575/263575_ISO_0_ES.jpg,True
DI-3211,301665,Queso semicurado cortado García Baquero 200 g,3.99,19.95€/kg,García Baquero,https://www.dia.es/charcuteria-y-quesos/queso-curado-semi-y-tierno/p/301665,https://www.dia.es/product_images/301665/301665_ISO_0_ES.jpg,True
DI-4175,37869,Queso fresco Burgo de Arias 3 x 72 g,3.16,14.63€/kg,Burgo de Arias,https://www.dia.es/charcuteria-y-quesos/queso-fresco/p/37869,https://www.dia.es/product_images/37869/37869_ISO_0_ES.jpg,True
DI-0906,177870,Queso fundido El Caserío 262 g,2.65,10.11€/kg,El Caserío,https://www.dia.es/charcuteria-y-quesos/quesos-en-lonchas-y-rallado/p/177870,https://www.dia.es/product_images/177870/177870_ISO_0_ES.jpg,True
DI-1425,222761,Queso roquefort Dia Selección Mundial 100 g,1.95,19.50€/kg,Dia Selección Mundial,https://www.dia.es/charcuteria-y-quesos/queso-azul-roquefort-y-cabra/p/222761,https://www.dia.es/product_images/222761/222761_ISO_0_ES.jpg,True
DI-3284,302665,Queso ahumado Talkäse Dia Selección Mundial 120 g,1.99,16.58€/kg,Dia Selección Mundial,https://www.dia.es/charcuteria-y-quesos/quesos-en-lonchas-y-rallado/p/302665,https://www.dia.es/product_images/302665/302665_ISO_0_ES.jpg,True
DI-3388,303658,Queso maasdam Dia Selección Mundial 160 g,1.69,10.56€/kg,Dia Selección Mundial,https://www.dia.es/charcuteria-y-quesos/quesos-en-lonchas-y-rallado/p/303658,https://www.dia.es/product_images/303658/303658_ISO_0_ES.jpg,True
DI-3437,304082,Queso mezcla Descarado Dia El Cencerro 200 g,2.87,14.35€/kg,Dia El Cencerro,https://www.dia.es/charcuteria-y-quesos/queso-curado-semi-y-tierno/p/304082,https://www.dia.es/product_images/304082/304082_ISO_0_ES.jpg,True
DI-4316,48095,Queso mascarpone Dia Selección Mundial 250 g,2.59,10.36€/kg,Dia Selección Mundial,https://www.dia.es/charcuteria-y-quesos/queso-fresco/p/48095,https://www.dia.es/product_images/48095/48095_ISO_0_ES.jpg,True
DI-2235,274204,Queso fresco batido rico en proteínas Granja Rinya 400 g,1.89,4.73€/kg,Granja Rinya,https://www.dia.es/charcuteria-y-quesos/quesos-altos-en-proteinas/p/274204,https://www.dia.es/product_images/274204/274204_ISO_0_ES.jpg,True
DI-0300,1253,Queso camembert Dia Selección Mundial tarrina 250 g,2.08,8.32€/kg,Dia Selección Mundial,https://www.dia.es/charcuteria-y-quesos/quesos-internacionales/p/1253,https://www.dia.es/product_images/1253/1253_ISO_0_ES.jpg,True
DI-1103,189086,Queso de untar original Philadelphia 350 g,3.69,10.54€/kg,Philadelphia,https://www.dia.es/charcuteria-y-quesos/quesos-untables-y-fundidos/p/189086,https://www.dia.es/product_images/189086/189086_ISO_0_ES.jpg,True
DI-1902,265533,Queso cheddar madurado Dia Selección Mundial 200 g,2.2,11.00€/kg,Dia Selección Mundial,https://www.dia.es/charcuteria-y-quesos/quesos-internacionales/p/265533,https://www.dia.es/product_images/265533/265533_ISO_0_ES.jpg,True
DI-0900,1776,Queso en porciones light La Vaca que ríe 250 g,2.99,11.96€/kg,La Vaca que ríe,https://www.dia.es/charcuteria-y-quesos/quesos-untables-y-fundidos/p/1776,https://www.dia.es/product_images/1776/1776_ISO_0_ES.jpg,True
DI-3486,304701,Queso mini tierno de cabra Dia El Cencerro 520 g,7.28,14.00€/kg,Dia El Cencerro,https://www.dia.es/charcuteria-y-quesos/queso-curado-semi-y-tierno/p/304701,https://www.dia.es/product_images/304701/304701_ISO_0_ES.jpg,True
DI-1261,207456,Queso Parmesano D.O.P. en escamas Dia Selección Mundial 100 g,2.99,29.90€/kg,Dia Selección Mundial,https://www.dia.es/charcuteria-y-quesos/quesos-internacionales/p/207456,https://www.dia.es/product_images/207456/207456_ISO_0_ES.jpg,True
DI-1856,263621,Mozzarella di bufala campana D.O.P. Dia Selección Mundial 125 g,1.85,14.80€/kg,Dia Selección Mundial,https://www.dia.es/charcuteria-y-quesos/queso-fresco/p/263621,https://www.dia.es/product_images/263621/263621_ISO_0_ES.jpg,True
DI-3485,304700,Queso mini semicurado Dia El Cencerro 1 Kg,9.99,9.99€/kg,Dia El Cencerro,https://www.dia.es/charcuteria-y-quesos/queso-curado-semi-y-tierno/p/304700,https://www.dia.es/product_images/304700/304700_ISO_0_ES.jpg,True
DI-4769,88287,Queso fundido con palitos de pan La Vaca que ríe 140 g,2.59,18.50€/kg,La Vaca que ríe,https://www.dia.es/charcuteria-y-quesos/quesos-untables-y-fundidos/p/88287,https://www.dia.es/product_images/88287/88287_ISO_0_ES.jpg,True
