id_api,nombre_comercial,precio,precio_unidad,marca,url,categoria_ahorramas
,Café molido Marcilla 500g mezcla,8.95,"(17,90€/KILO)",,https://www.ahorramas.com/cafe-molido-marcilla-500g-mezcla-17475.html,alimentacion
,Patatas fritas churrería Alipende 150g,1.0,"(6,67€/KILO)",,https://www.ahorramas.com/patatas-fritas-churreria-alipende-150g-42933.html,alimentacion
,Sopa de pollo con fideos Alipende 66g,0.5,"(7,58€/KILO)",,https://www.ahorramas.com/sopa-de-pollo-con-fideos-alipende-66g-85271.html,alimentacion
,Hummus a Taste Of Sol 200g,1.19,"(5,95€/KILO)",,https://www.ahorramas.com/hummus-a-taste-of-sol-200g-64993.html,alimentacion
,Galleta Chips Ahoy 160g mini,1.99,"(12,44€/KILO)",,https://www.ahorramas.com/galleta-chips-ahoy-160g-mini-54567.html,alimentacion
,Judías verdes cortadas en tiras Gvtarra 660g,2.6,"(7,43€/KG.PESO ESC)|(8,83€/KG.PESO ESC)",,https://www.ahorramas.com/judias-verdes-cortadas-en-tiras-gvtarra-660g-439.html,alimentacion
,Masa de hojaldre Alipende pack 2 rectangular,2.12,"(4,61€/KILO)",,https://www.ahorramas.com/masa-de-hojaldre-alipende-pack-2-rectangular-44450.html,alimentacion
,Edulcorante líquido Alipende 200ml,1.15,"(5,75€/LITRO)",,https://www.ahorramas.com/edulcorante-liquido-alipende-200ml-72113.html,alimentacion
,Tomate frito Orlando 636g pack 3,1.99,"(3,13€/KILO)",,https://www.ahorramas.com/tomate-frito-orlando-636g-pack-3-70575.html,alimentacion
,Piponazo original Grefusa 110g,1.59,"(13,36€/KILO)|(16,39€/KILO)",,https://www.ahorramas.com/piponazo-original-grefusa-110g-79693.html,alimentacion
,Garbanzo sin sal cocido Luengo 570 g,1.3,"(3,25€/KG.PESO ESC)",,https://www.ahorramas.com/garbanzo-sin-sal-cocido-luengo-570-g-73238.html,alimentacion
,Pajaritas Alipende 500g con vegetales,0.99,"(1,98€/KILO)",,https://www.ahorramas.com/pajaritas-alipende-500g-con-vegetales-49961.html,alimentacion
,Gazpacho García Millán 1l,3.75,"(3,75€/LITRO)",,https://www.ahorramas.com/gazpacho-garcia-millan-1l-46064.html,alimentacion
,Crema de verduras Alipende 500ml,1.0,"(2,00€/LITRO)",,https://www.ahorramas.com/crema-de-verduras-alipende-500ml-85319.html,alimentacion
,Aceite de oliva virgen Carbonell 3l,14.7,"(4,90€/LITRO)|(6,10€/LITRO)",,https://www.ahorramas.com/aceite-de-oliva-virgen-carbonell-3l-48233.html,alimentacion
,Cacahuete frito repelado con sal Alipende 200g,0.8,"(4,00€/KILO)",,https://www.ahorramas.com/cacahuete-frito-repelado-con-sal-alipende-200g-64470.html,alimentacion
,Mermelada extra Alipende 410g melocotón,1.35,"(3,29€/KILO)",,https://www.ahorramas.com/mermelada-extra-alipende-410g-melocoton-50578.html,alimentacion
,Tortitas nackis Bicentury 70g jamon ibérico,1.35,"(19,29€/KILO)|(24,14€/KILO)",,https://www.ahorramas.com/tortitas-nackis-bicentury-70g-jamon-iberico-32181.html,alimentacion
,Aceite de oliva virgen extra Maestros de Hojiblanca garrafa 3l,16.5,"(5,50€/LITRO)|(7,85€/LITRO)",,https://www.ahorramas.com/aceite-de-oliva-virgen-extra-maestros-de-hojiblanca-garrafa-3l-56752.html,alimentacion
,Ajo granulado Alipende 55g,0.74,"(13,45€/KILO)",,https://www.ahorramas.com/ajo-granulado-alipende-55g-81458.html,alimentacion
,Pan The Rustik Bakery 400g Integral,2.99,"(7,48€/KILO)",,https://www.ahorramas.com/pan-the-rustik-bakery-400g-integral-77338.html,alimentacion
,Galleta Gullón 800g creme tropical,3.45,"(4,31€/KILO)",,https://www.ahorramas.com/galleta-gullon-800g-creme-tropical-80549.html,alimentacion
,Aceitunas rellenas Alipende pack 3,1.8,"(12,00€/KG.PESO ESC)",,https://www.ahorramas.com/aceitunas-rellenas-alipende-pack-3-71222.html,alimentacion
,Mermelada fresas extra de temporada Hero 350g,2.69,"(7,69€/KILO)|(8,54€/KILO)",,https://www.ahorramas.com/mermelada-fresas-extra-de-temporada-hero-350g-13959.html,alimentacion
,Tomate frito sin gluten abre fácil Orlando 780g,1.85,"(2,37€/KILO)",,https://www.ahorramas.com/tomate-frito-sin-gluten-abre-facil-orlando-780g-40038.html,alimentacion
,Cacao en polvo instantáneo Nesquik 390g,3.7,"(9,49€/KILO)|(10,77€/KILO)",,https://www.ahorramas.com/cacao-en-polvo-instantaneo-nesquik-390g-1278.html,alimentacion
,Salmorejo fresco García Millán 330ml,1.65,"(5,00€/LITRO)",,https://www.ahorramas.com/salmorejo-fresco-garcia-millan-330ml-53226.html,alimentacion
,"Huevos de gallinas criadas con maíz sueltas en el gallinero Alipende 12u ""clase m-l""",3.5,"(3,50€/DOCENA)",,https://www.ahorramas.com/huevos-de-gallinas-criadas-con-maiz-sueltas-en-el-gallinero-alipende-12u-clase-m-l-31199.html,alimentacion
